number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_bc,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,0.0021465809550136328,2026-05-21 11:40:55.255174,2026-05-21 11:42:03.837064,0 days 00:01:08.581890,48,20.513382630874496,157.51320499779712,15.702970884055382,0.00020511104188433984,10,0.33485016730091965,5000,COMPLETE
1,0.05456101521849632,2026-05-21 11:42:03.861849,2026-05-21 11:42:26.173958,0 days 00:00:22.312109,80,462.25890010208275,870.6020878304851,0.115279871282324,0.00026587543983272726,8,0.4090949803242604,1000,COMPLETE
2,0.016639288514852524,2026-05-21 11:42:26.185762,2026-05-21 11:42:55.020039,0 days 00:00:28.834277,48,167.38085788752124,38.23475224675185,1.976218934028007,0.00019010245319870352,6,0.47528678912113087,2000,COMPLETE
3,0.02464325726032257,2026-05-21 11:42:55.035014,2026-05-21 11:43:27.908060,0 days 00:00:32.873046,64,153.04852121831465,106.77482709481349,0.3972110727381912,0.0001238513729886094,9,0.664526911140863,1000,COMPLETE
4,0.002660436788573861,2026-05-21 11:43:27.921954,2026-05-21 11:46:50.508266,0 days 00:03:22.586312,16,40.66563313514794,413.8040112561011,78.86714129990483,0.0001567993391672301,10,0.7105398159072942,3000,COMPLETE
5,0.053233128041028976,2026-05-21 11:46:50.528476,2026-05-21 11:46:50.928716,0 days 00:00:00.400240,16,32.927591344236156,658.6289317583107,0.12681352169084595,0.0021137059440645744,6,0.4870266456536466,3000,PRUNED
6,0.05063100531697273,2026-05-21 11:46:50.937536,2026-05-21 11:46:51.399526,0 days 00:00:00.461990,80,756.8292060167613,355.03048581283053,81.05016126411583,0.006161049539380964,3,0.6587399872866511,5000,PRUNED
7,0.054302483797073364,2026-05-21 11:46:51.411096,2026-05-21 11:46:51.750000,0 days 00:00:00.338904,16,59.89003672254301,44.73636174621264,0.13667272915456222,0.00034889766548903674,3,0.7972425054911576,2000,PRUNED
8,3.6790126614505425e-05,2026-05-21 11:46:51.758586,2026-05-21 11:48:16.137867,0 days 00:01:24.379281,48,14.096175149815862,402.15545266902836,0.2647114182821816,0.009413993046829943,6,0.7633468615779946,1000,COMPLETE
9,0.04396582767367363,2026-05-21 11:48:16.162283,2026-05-21 11:48:18.148733,0 days 00:00:01.986450,16,348.7712624545931,287.08753481954665,13.199942261535016,0.00014063366777718192,9,0.5150794371265636,1000,PRUNED
