trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lambda_bc,lr,scheduler_gamma,scheduler_step
0,complete,0.0021465809550136328,48,10,15.702970884055382,157.51320499779712,20.513382630874496,0.00020511104188433984,0.33485016730091965,5000
1,complete,0.05456101521849632,80,8,0.115279871282324,870.6020878304851,462.25890010208275,0.00026587543983272726,0.4090949803242604,1000
2,complete,0.016639288514852524,48,6,1.976218934028007,38.23475224675185,167.38085788752124,0.00019010245319870352,0.47528678912113087,2000
3,complete,0.02464325726032257,64,9,0.3972110727381912,106.77482709481349,153.04852121831465,0.0001238513729886094,0.664526911140863,1000
4,complete,0.002660436788573861,16,10,78.86714129990483,413.8040112561011,40.66563313514794,0.0001567993391672301,0.7105398159072942,3000
8,complete,3.6790126614505425e-05,48,6,0.2647114182821816,402.15545266902836,14.096175149815862,0.009413993046829943,0.7633468615779946,1000
10,complete,1.0044309419754427e-05,128,5,0.8376886561830927,10.862348973937136,10.693848217322548,0.006536264082965736,0.8794799491387799,4000
12,complete,7.697361070313491e-06,128,5,0.6323728543271067,10.307046699326312,13.241669967698948,0.003816555624863523,0.8981434764965095,4000
14,complete,2.9739339879597537e-05,112,2,3.833125412072728,20.847875104970978,10.623818229569274,0.003415962026347907,0.8196248311799663,4000
18,complete,1.1999456546618603e-05,128,7,6.80068534410898,16.06467226235805,17.202040946024173,0.0010316978220772084,0.8514517294418006,4000
22,complete,1.2812475688406266e-05,128,7,1.7207068494009488,24.54976370143815,10.541131396136858,0.0012721545299008668,0.8676482694280258,4000
23,complete,3.074248752454878e-06,112,8,7.619668230055787,12.750504934092145,24.69820953175382,0.003085459945127017,0.8200597683922285,3000
26,complete,4.699705641542096e-06,96,8,31.976631751334157,14.14780261549302,26.669363725876075,0.0028314431532339202,0.7108164612664329,3000
50,complete,8.040332431846764e-06,112,9,6.395254133055183,31.837850053652627,19.205441206668695,0.0025772355832470724,0.7101445331755786,3000
52,complete,3.889889285346726e-06,128,9,11.028910410388159,12.176310348029947,11.40891817232461,0.0020310062795988537,0.7514664068467158,3000
54,complete,3.134926828352036e-06,128,9,12.18074616268207,22.076012623546447,12.322345148681556,0.00235140706748695,0.6681120501484472,3000
55,complete,5.150113793206401e-06,128,9,11.538323536233266,44.64632055604506,13.03748922829486,0.0024026152463569833,0.6823230266940956,3000
59,complete,3.148247060380527e-06,112,8,40.68330419068474,50.2481566183604,10.04328070412732,0.002362903869558022,0.5879407291712627,2000
61,complete,3.5972886962554185e-06,112,9,34.16417742371072,52.04720690660635,11.649975430762565,0.0024532898397275444,0.6277274966455269,1000
75,complete,5.3314211072574835e-06,96,8,39.30392035497126,116.45759852662701,14.559368392428707,0.0034362313148278874,0.7545655159083631,1000
81,complete,1.469245262342156e-06,112,7,12.656602904470503,15.018548173544536,13.544108523492783,0.002767755054848155,0.6213139655526541,3000
82,complete,1.618483679521887e-06,112,7,16.99922191300319,18.864337370730695,15.744953630246982,0.00282364861662522,0.6248812205677994,3000
113,complete,7.462773737643147e-06,112,9,7.616564629582752,28.4834710045335,12.418190870864379,0.0029688823507398473,0.7450271349401153,1000
125,complete,5.723117737943539e-06,112,9,12.760220525969926,32.88953520530233,13.389152154380689,0.002769950608546626,0.7160341628801141,3000
130,complete,3.120334895356791e-06,112,8,16.972696403560636,12.502138586988554,10.078298742043929,0.0028009497404777478,0.6643374004158876,1000
138,complete,3.4909808164229617e-06,96,7,25.236343523444102,47.52196871655578,13.133280838367964,0.0031458785464373424,0.7176459806904834,1000
264,complete,4.477369657251984e-06,112,9,68.16900913391781,45.26822612849371,10.967951440590255,0.0032047432369594875,0.3084998199700687,1000
267,complete,2.9311242997209774e-06,112,9,66.23718478860293,53.614230659689035,13.079078377812,0.004051671531956411,0.3057629706800573,3000
