number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,6.731668690918013e-05,2026-05-19 09:59:37.648456,2026-05-19 09:59:44.519202,0 days 00:00:06.870746,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,COMPLETE
1,1.0888436918321531e-05,2026-05-19 09:59:44.536794,2026-05-19 09:59:49.311034,0 days 00:00:04.774240,112,1.0994335574766196,0.679657809075816,0.008706020878304856,5,0.7994655844802532,2000,COMPLETE
2,0.00012352682824712247,2026-05-19 09:59:49.327584,2026-05-19 09:59:55.829317,0 days 00:00:06.501733,32,11.207606211860567,0.016480446427978974,0.0007309539835912913,2,0.47473748411882516,4000,COMPLETE
3,1.6637195585644804e-05,2026-05-19 09:59:55.838887,2026-05-19 10:00:01.053834,0 days 00:00:05.214947,32,8.168455894760163,0.029204338471814112,0.0037183641805732083,3,0.41980426929501585,3000,COMPLETE
4,4.2377014324301854e-05,2026-05-19 10:00:01.062973,2026-05-19 10:00:05.814653,0 days 00:00:04.751680,80,2.1930485556643684,0.26926469100861794,0.00013492834268013249,2,0.8693313223520001,5000,COMPLETE
5,0.04691286012530327,2026-05-19 10:00:05.823499,2026-05-19 10:00:06.008785,0 days 00:00:00.185286,112,23.359635026261596,0.002458603276328005,0.0007591104805282694,3,0.3732229409068673,3000,PRUNED
6,0.1431511789560318,2026-05-19 10:00:06.016389,2026-05-19 10:00:06.292252,0 days 00:00:00.275863,16,21.137059440645725,0.010842262717330166,0.0004201672054372534,6,0.6120408127066865,3000,PRUNED
7,4.1796996811171994e-05,2026-05-19 10:00:06.302708,2026-05-19 10:00:12.783426,0 days 00:00:06.480718,32,75.68292060167619,1.2604664585649468,0.006161049539380964,6,0.6587399872866511,5000,COMPLETE
8,0.11800294369459152,2026-05-19 10:00:12.796242,2026-05-19 10:00:12.949898,0 days 00:00:00.153656,16,4.473636174621264,0.0015167330688076208,0.0005989003672254305,2,0.4628094190643376,5000,PRUNED
9,1.6811996829346754e-05,2026-05-19 10:00:12.956775,2026-05-19 10:00:16.293879,0 days 00:00:03.337104,48,1.9135880487692298,0.14817820606039092,0.0040215545266902904,3,0.3447303862078625,5000,COMPLETE
10,0.01809895783662796,2026-05-19 10:00:16.303861,2026-05-19 10:00:16.574978,0 days 00:00:00.271117,128,1.0862348973937128,7.553503645583189,0.0020124870829750945,5,0.8445988771695108,1000,PRUNED
11,1.8425040252623148e-05,2026-05-19 10:00:16.581303,2026-05-19 10:00:21.081654,0 days 00:00:04.500351,96,5.614406187645643,0.03299263281612611,0.007791470666172783,4,0.7165828206726954,2000,COMPLETE
12,0.022433113306760788,2026-05-19 10:00:21.093375,2026-05-19 10:00:21.302601,0 days 00:00:00.209226,80,50.45980465205415,0.06323499520723179,0.0025997524114633797,4,0.7584476214151429,2000,PRUNED
13,5.3658791330235545e-06,2026-05-19 10:00:21.309193,2026-05-19 10:00:25.439973,0 days 00:00:04.130780,128,4.957547237088645,0.6719370370554077,0.009481614884546465,5,0.5014692429438355,2000,COMPLETE
14,8.409449037571903e-06,2026-05-19 10:00:25.453481,2026-05-19 10:00:29.994610,0 days 00:00:04.541129,128,2.864008625795106,3.0676965894461605,0.0015192022573669321,5,0.5299562768145192,2000,COMPLETE
15,9.884567589324433e-06,2026-05-19 10:00:30.006879,2026-05-19 10:00:34.774227,0 days 00:00:04.767348,128,3.1154886660953833,7.266943511144083,0.0015244142102137958,5,0.5425794629521015,2000,COMPLETE
16,3.365865723026218e-06,2026-05-19 10:00:34.786393,2026-05-19 10:00:39.064439,0 days 00:00:04.278046,112,4.9951810905579475,3.296499415635722,0.0013555830508414953,5,0.5449071132635128,1000,COMPLETE
17,3.976020707341377e-06,2026-05-19 10:00:39.098929,2026-05-19 10:00:42.797399,0 days 00:00:03.698470,96,8.593802344642906,2.233122679554071,0.0003549379667991787,4,0.3028440717918536,1000,COMPLETE
18,0.017350055277347565,2026-05-19 10:00:42.812408,2026-05-19 10:00:43.056014,0 days 00:00:00.243606,96,33.4588754284961,2.524759823104007,0.0002781705652847471,4,0.31633141583471813,1000,PRUNED
19,0.025847677141427994,2026-05-19 10:00:43.062795,2026-05-19 10:00:43.266517,0 days 00:00:00.203722,96,9.137161872345,0.3172350889991854,0.00035602475159948033,4,0.6240570120681564,1000,PRUNED
20,0.0001976756757358089,2026-05-19 10:00:43.273196,2026-05-19 10:00:43.622525,0 days 00:00:00.349329,64,6.612714338115937,2.490931069377392,0.001144873906597458,4,0.3005107091659718,4000,PRUNED
21,0.02320021018385887,2026-05-19 10:00:43.629696,2026-05-19 10:00:43.899304,0 days 00:00:00.269608,112,4.312633212270169,0.4958966026738038,0.00010310112102563786,5,0.5276763373088122,1000,PRUNED
22,0.009263123385608196,2026-05-19 10:00:43.907039,2026-05-19 10:00:44.163785,0 days 00:00:00.256746,112,13.557169304878188,1.5985764809133307,0.0001791319614164542,5,0.4663105679898649,1000,PRUNED
23,5.025239715905627e-06,2026-05-19 10:00:44.171175,2026-05-19 10:00:49.963477,0 days 00:00:05.792302,96,4.413973442060656,3.883106881818317,0.00047275495072809356,6,0.6761464688763549,2000,COMPLETE
24,0.00020123799913562834,2026-05-19 10:00:49.972430,2026-05-19 10:00:50.511426,0 days 00:00:00.538996,80,3.1417639113887175,4.751469307366835,0.0004411889914902491,6,0.6863690001402896,1000,PRUNED
25,9.434833714294655e-07,2026-05-19 10:00:50.517667,2026-05-19 10:00:55.719028,0 days 00:00:05.201361,96,7.192654176881074,9.407101733484659,0.0009023409646838815,6,0.5612949940103852,2000,COMPLETE
26,0.00017755458247847855,2026-05-19 10:00:55.733913,2026-05-19 10:00:56.273491,0 days 00:00:00.539578,64,7.18231408937544,8.425646749938313,0.0012177624520947558,6,0.5693845034630187,1000,PRUNED
27,0.00015292130410671234,2026-05-19 10:00:56.280247,2026-05-19 10:00:56.651833,0 days 00:00:00.371586,96,17.91433139194222,1.276455227514455,0.0009154304003956363,4,0.5857268519287834,2000,PRUNED
28,0.000929137400817126,2026-05-19 10:00:56.658945,2026-05-19 10:00:56.988677,0 days 00:00:00.329732,112,11.067476497745721,4.616967696585531,0.0002804346848439217,3,0.4121859686887108,1000,PRUNED
29,6.706083695462439e-06,2026-05-19 10:00:56.995487,2026-05-19 10:01:01.770610,0 days 00:00:04.775123,80,13.918052844056772,9.942333375717412,0.0025464019673160213,6,0.4355732817632987,1000,COMPLETE
30,0.03436337783932686,2026-05-19 10:01:01.784462,2026-05-19 10:01:02.037100,0 days 00:00:00.252638,64,27.84056960191826,2.441008528338721,0.0002124391659144024,5,0.37371681796870826,2000,PRUNED
31,0.000174878237885423,2026-05-19 10:01:02.044708,2026-05-19 10:01:02.586067,0 days 00:00:00.541359,96,3.831182587406368,4.312483104379502,0.0005910482878490719,6,0.6500969917855087,3000,PRUNED
32,0.0001183600616059266,2026-05-19 10:01:02.594908,2026-05-19 10:01:03.083534,0 days 00:00:00.488626,96,1.7941849320062215,1.306565929370561,0.000537827718709803,6,0.7468082352362515,2000,PRUNED
33,0.00016287255857605487,2026-05-19 10:01:03.091811,2026-05-19 10:01:03.619175,0 days 00:00:00.527364,112,6.743143235518523,5.248004561140794,0.0009566130909525967,6,0.802613510951395,3000,PRUNED
34,0.00017049182497430593,2026-05-19 10:01:03.627021,2026-05-19 10:01:04.091730,0 days 00:00:00.464709,112,10.240035676137325,0.8818629843975015,0.0007380240768400544,5,0.694131302082881,2000,PRUNED
35,0.011894172057509422,2026-05-19 10:01:04.099453,2026-05-19 10:01:04.370731,0 days 00:00:00.271278,80,5.600640155245925,0.4106373466227785,0.00031530580236536804,6,0.5690512498963177,1000,PRUNED
36,0.005521900486201048,2026-05-19 10:01:04.379288,2026-05-19 10:01:04.610389,0 days 00:00:00.231101,96,1.3700128215431082,0.17859440651664146,0.00019385455962748168,5,0.621337608672853,4000,PRUNED
37,0.0001537547359475866,2026-05-19 10:01:04.617965,2026-05-19 10:01:05.133812,0 days 00:00:00.515847,112,2.5980690920245912,1.9364996156963785,0.00047814255917536305,6,0.898970151699602,2000,PRUNED
38,7.577186352136778e-06,2026-05-19 10:01:05.141169,2026-05-19 10:01:09.432132,0 days 00:00:04.290963,80,3.7545999998322417,0.8133875311059501,0.0016230527224256337,5,0.6563605633921658,3000,COMPLETE
39,0.0022099341731518507,2026-05-19 10:01:09.444831,2026-05-19 10:01:09.647930,0 days 00:00:00.203099,96,16.425237088340182,3.463111808375922,0.0007580157872029927,3,0.5032070180326743,4000,PRUNED
40,0.003516310127452016,2026-05-19 10:01:09.654882,2026-05-19 10:01:09.969553,0 days 00:00:00.314671,48,8.06393601022979,5.746203686786015,0.00039375023823693544,6,0.7879604111451022,1000,PRUNED
41,1.918821726576425e-05,2026-05-19 10:01:09.976736,2026-05-19 10:01:15.051067,0 days 00:00:05.074331,128,5.237647119350662,0.6106354650396603,0.0047900524313294595,5,0.45122994178814263,2000,PRUNED
42,7.868187822168693e-06,2026-05-19 10:01:15.058169,2026-05-19 10:01:19.325306,0 days 00:00:04.267137,128,5.059289254658221,0.9154023765221246,0.0028829122793602737,4,0.488759255838245,3000,COMPLETE
43,0.0001155720601673238,2026-05-19 10:01:19.337711,2026-05-19 10:01:19.687250,0 days 00:00:00.349539,112,9.078003759593718,1.7904428457338017,0.008786675699029387,4,0.5973250835939957,2000,PRUNED
44,0.003039067843928933,2026-05-19 10:01:19.693486,2026-05-19 10:01:19.916259,0 days 00:00:00.222773,128,2.3809367944044513,3.4666691265016367,0.006341177984459529,5,0.5111780995998404,2000,PRUNED
45,0.0302610844373703,2026-05-19 10:01:19.922425,2026-05-19 10:01:20.161082,0 days 00:00:00.238657,112,3.772975455992759,0.003263906431720571,0.00061911899167896,6,0.5544901580849693,1000,PRUNED
46,0.022983256727457047,2026-05-19 10:01:20.167467,2026-05-19 10:01:20.399125,0 days 00:00:00.231658,128,6.283540685544827,0.09246688159115868,0.000221507383097658,5,0.37208255936024714,3000,PRUNED
47,7.102965173544362e-05,2026-05-19 10:01:20.405244,2026-05-19 10:01:20.841676,0 days 00:00:00.436432,96,12.368401586775775,7.2304053007206495,0.003587770716371089,3,0.7011963662671359,2000,PRUNED
48,0.00019532449368853122,2026-05-19 10:01:20.847868,2026-05-19 10:01:21.242627,0 days 00:00:00.394759,112,7.8416751698691884,2.097165828859702,0.0012572861785494459,4,0.41093927853318657,1000,PRUNED
49,0.010623862966895103,2026-05-19 10:01:21.249810,2026-05-19 10:01:21.416712,0 days 00:00:00.166902,80,4.41473024519983,3.4969256259483372,0.0001493682588422705,2,0.3397066062285845,3000,PRUNED
50,5.690389662049711e-05,2026-05-19 10:01:21.423044,2026-05-19 10:01:26.202627,0 days 00:00:04.779583,128,1.7085508381524888,0.24472889648788568,0.0018032199456361527,6,0.6344820729983879,2000,PRUNED
51,8.999532838060986e-06,2026-05-19 10:01:26.209716,2026-05-19 10:01:31.108388,0 days 00:00:04.898672,80,13.970362874916155,8.890538381634883,0.002253662147744961,6,0.43647627760770036,1000,COMPLETE
52,0.00010088758426718414,2026-05-19 10:01:31.122638,2026-05-19 10:01:31.617475,0 days 00:00:00.494837,96,21.606530005665217,9.858733890980751,0.0008690425407253728,6,0.48301140288932093,1000,PRUNED
53,6.8910399022570346e-06,2026-05-19 10:01:31.625207,2026-05-19 10:01:36.537131,0 days 00:00:04.911924,80,9.472804155445376,7.234872987709448,0.003048579218418946,6,0.5170018210606554,1000,COMPLETE
54,5.612441782432143e-06,2026-05-19 10:01:36.549190,2026-05-19 10:01:41.133055,0 days 00:00:04.583865,96,6.100098478341332,5.529710117496543,0.00525385108385634,5,0.44373018260318353,1000,COMPLETE
55,0.0014552639331668615,2026-05-19 10:01:41.142176,2026-05-19 10:01:41.380077,0 days 00:00:00.237901,96,5.925345806222781,3.0091743760563103,0.006659884573185776,5,0.5476149081686973,1000,PRUNED
56,4.652217285183724e-06,2026-05-19 10:01:41.387340,2026-05-19 10:01:45.559854,0 days 00:00:04.172514,112,3.2205314260082587,1.1364375905387731,0.009318405993542745,4,0.3915211948956444,2000,COMPLETE
57,0.002332705073058605,2026-05-19 10:01:45.568817,2026-05-19 10:01:45.807679,0 days 00:00:00.238862,112,3.3235849043584036,0.5324207475113484,0.009756798600085305,4,0.33527808299755557,2000,PRUNED
58,4.194090706732823e-06,2026-05-19 10:01:45.813953,2026-05-19 10:01:49.563493,0 days 00:00:03.749540,128,4.621045878319776,1.1695495979124622,0.008161720943200484,4,0.39488228733530006,2000,COMPLETE
59,0.00337018514983356,2026-05-19 10:01:49.572951,2026-05-19 10:01:49.779527,0 days 00:00:00.206576,112,2.2118232788980965,1.1613467111334672,0.007651721610198868,4,0.3632848574478064,2000,PRUNED
60,0.06568964570760727,2026-05-19 10:01:49.785828,2026-05-19 10:01:50.004526,0 days 00:00:00.218698,112,79.6930450353803,0.01046121219285428,0.004928607755080364,3,0.31639556368814226,2000,PRUNED
61,0.0013360758312046528,2026-05-19 10:01:50.010873,2026-05-19 10:01:50.231672,0 days 00:00:00.220799,128,4.778064283938281,1.4610784263835153,0.009764061466493954,4,0.394072437478976,2000,PRUNED
62,3.2455563996336423e-06,2026-05-19 10:01:50.238930,2026-05-19 10:01:54.561011,0 days 00:00:04.322081,128,3.5371370125553683,1.0445466868970184,0.007474352692768597,4,0.584738483236597,2000,COMPLETE
63,2.446813596179709e-07,2026-05-19 10:01:54.575185,2026-05-19 10:01:58.517992,0 days 00:00:03.942807,128,2.787457238403039,2.427581344244519,0.0076743545958860996,4,0.6029225494021129,2000,COMPLETE
64,1.723157993183122e-06,2026-05-19 10:01:58.533677,2026-05-19 10:02:02.423638,0 days 00:00:03.889961,128,2.720959878359137,1.0260663429092847,0.007628880340486043,4,0.6193636541697787,2000,COMPLETE
65,4.154956627644424e-07,2026-05-19 10:02:02.437126,2026-05-19 10:02:06.182864,0 days 00:00:03.745738,128,2.8655242564454575,2.623904420479056,0.007555498964051891,4,0.599354769075036,2000,COMPLETE
66,9.721446258481592e-05,2026-05-19 10:02:06.192103,2026-05-19 10:02:06.565004,0 days 00:00:00.372901,128,2.7073081795097385,0.32646274514373236,0.0056709809408169096,4,0.6030252567583434,3000,PRUNED
67,0.0018737936625257134,2026-05-19 10:02:06.571263,2026-05-19 10:02:06.782096,0 days 00:00:00.210833,128,1.4078323653600955,2.5818245838199645,0.006820142748006359,4,0.5775438955579416,2000,PRUNED
68,0.001923481235280633,2026-05-19 10:02:06.788556,2026-05-19 10:02:06.997843,0 days 00:00:00.209287,128,1.9915668098197639,1.6984021605535657,0.0048356320263761065,4,0.6407469369607257,2000,PRUNED
69,0.013683494180440903,2026-05-19 10:02:07.004593,2026-05-19 10:02:07.188201,0 days 00:00:00.183608,128,1.4883958218903284,6.138451294417788,0.004361976635033872,3,0.6686101084173794,3000,PRUNED
70,0.0011281977640464902,2026-05-19 10:02:07.194410,2026-05-19 10:02:07.422405,0 days 00:00:00.227995,128,3.726935654193545,2.260813152664784,0.0037222678591344958,4,0.6141036108846667,1000,PRUNED
71,8.065316797001287e-05,2026-05-19 10:02:07.428982,2026-05-19 10:02:07.800732,0 days 00:00:00.371750,128,2.5006316006158062,0.8045956001304273,0.008106999300126186,4,0.5596610186048461,2000,PRUNED
72,0.001022365759126842,2026-05-19 10:02:07.807640,2026-05-19 10:02:08.014846,0 days 00:00:00.207206,128,3.0594021004602685,1.1593198219499503,0.007127838976065905,4,0.5904964554286205,2000,PRUNED
73,6.34057360002771e-05,2026-05-19 10:02:08.021313,2026-05-19 10:02:08.753962,0 days 00:00:00.732649,112,99.03907648466542,4.241739093309194,0.007908038842839756,4,0.52743425652012,2000,PRUNED
74,0.0007982038659974933,2026-05-19 10:02:08.762425,2026-05-19 10:02:08.969370,0 days 00:00:00.206945,128,4.190633949750524,2.823019737058197,0.005469509550290835,4,0.5392631045438602,2000,PRUNED
75,0.012300161644816399,2026-05-19 10:02:08.978172,2026-05-19 10:02:09.191526,0 days 00:00:00.213354,128,2.1560791378414006,0.42469172523462156,0.00010389267392004515,4,0.6106123472961404,2000,PRUNED
76,0.0036955380346626043,2026-05-19 10:02:09.199343,2026-05-19 10:02:09.404346,0 days 00:00:00.205003,112,5.238707712883647,1.7350675040661183,0.005841750552890967,3,0.6314951012220766,2000,PRUNED
77,0.0011072400957345963,2026-05-19 10:02:09.412500,2026-05-19 10:02:09.620773,0 days 00:00:00.208273,16,7.250940091102319,0.69002581925698,0.008323840310186178,4,0.5722787750124433,1000,PRUNED
78,0.0018070965306833386,2026-05-19 10:02:09.627281,2026-05-19 10:02:09.839674,0 days 00:00:00.212393,128,2.849008996249049,2.1578456662081447,0.0061379638542483125,4,0.7189736160047445,5000,PRUNED
79,9.37322256504558e-05,2026-05-19 10:02:09.846155,2026-05-19 10:02:10.223225,0 days 00:00:00.377070,112,3.566699623584201,1.0021637807209371,0.0010457818980600616,4,0.6504519064201488,3000,PRUNED
