trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
0,complete,6.731668690918013e-05,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000
1,complete,1.0888436918321531e-05,112,5,0.679657809075816,1.0994335574766196,0.008706020878304856,0.7994655844802532,2000
2,complete,0.00012352682824712247,32,2,0.016480446427978974,11.207606211860567,0.0007309539835912913,0.47473748411882516,4000
3,complete,1.6637195585644804e-05,32,3,0.029204338471814112,8.168455894760163,0.0037183641805732083,0.41980426929501585,3000
4,complete,4.2377014324301854e-05,80,2,0.26926469100861794,2.1930485556643684,0.00013492834268013249,0.8693313223520001,5000
7,complete,4.1796996811171994e-05,32,6,1.2604664585649468,75.68292060167619,0.006161049539380964,0.6587399872866511,5000
9,complete,1.6811996829346754e-05,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000
11,complete,1.8425040252623148e-05,96,4,0.03299263281612611,5.614406187645643,0.007791470666172783,0.7165828206726954,2000
13,complete,5.3658791330235545e-06,128,5,0.6719370370554077,4.957547237088645,0.009481614884546465,0.5014692429438355,2000
14,complete,8.409449037571903e-06,128,5,3.0676965894461605,2.864008625795106,0.0015192022573669321,0.5299562768145192,2000
15,complete,9.884567589324433e-06,128,5,7.266943511144083,3.1154886660953833,0.0015244142102137958,0.5425794629521015,2000
16,complete,3.365865723026218e-06,112,5,3.296499415635722,4.9951810905579475,0.0013555830508414953,0.5449071132635128,1000
17,complete,3.976020707341377e-06,96,4,2.233122679554071,8.593802344642906,0.0003549379667991787,0.3028440717918536,1000
23,complete,5.025239715905627e-06,96,6,3.883106881818317,4.413973442060656,0.00047275495072809356,0.6761464688763549,2000
25,complete,9.434833714294655e-07,96,6,9.407101733484659,7.192654176881074,0.0009023409646838815,0.5612949940103852,2000
29,complete,6.706083695462439e-06,80,6,9.942333375717412,13.918052844056772,0.0025464019673160213,0.4355732817632987,1000
38,complete,7.577186352136778e-06,80,5,0.8133875311059501,3.7545999998322417,0.0016230527224256337,0.6563605633921658,3000
42,complete,7.868187822168693e-06,128,4,0.9154023765221246,5.059289254658221,0.0028829122793602737,0.488759255838245,3000
51,complete,8.999532838060986e-06,80,6,8.890538381634883,13.970362874916155,0.002253662147744961,0.43647627760770036,1000
53,complete,6.8910399022570346e-06,80,6,7.234872987709448,9.472804155445376,0.003048579218418946,0.5170018210606554,1000
54,complete,5.612441782432143e-06,96,5,5.529710117496543,6.100098478341332,0.00525385108385634,0.44373018260318353,1000
56,complete,4.652217285183724e-06,112,4,1.1364375905387731,3.2205314260082587,0.009318405993542745,0.3915211948956444,2000
58,complete,4.194090706732823e-06,128,4,1.1695495979124622,4.621045878319776,0.008161720943200484,0.39488228733530006,2000
62,complete,3.2455563996336423e-06,128,4,1.0445466868970184,3.5371370125553683,0.007474352692768597,0.584738483236597,2000
63,complete,2.446813596179709e-07,128,4,2.427581344244519,2.787457238403039,0.0076743545958860996,0.6029225494021129,2000
64,complete,1.723157993183122e-06,128,4,1.0260663429092847,2.720959878359137,0.007628880340486043,0.6193636541697787,2000
65,complete,4.154956627644424e-07,128,4,2.623904420479056,2.8655242564454575,0.007555498964051891,0.599354769075036,2000
83,complete,4.216289198666345e-06,128,4,1.0089537836168496,4.216602275689195,0.007698363318043426,0.31824298986216437,2000
92,complete,7.609959538967814e-06,128,4,0.7224053787096901,3.970117096990492,0.00857260409367177,0.3027212881762417,2000
126,complete,2.835307213899796e-06,96,5,3.9562222657609145,4.310030229821656,0.006433246798680863,0.3400562057417516,3000
131,complete,2.6974194042850286e-06,96,5,4.895736504509382,5.237702500795734,0.006324671816467444,0.4228430763279376,2000
176,complete,5.784718723589322e-06,128,5,0.6537426419285952,2.955586915687648,0.0016366507914891794,0.6812413731432299,2000
199,complete,1.2164522900093289e-07,128,4,4.166326495596324,6.509819894448015,0.008469426412455532,0.35360542699454045,1000
200,complete,5.278172011458082e-06,96,5,4.157343133776841,6.281504237431457,0.005980195247005085,0.35908785772110424,1000
201,complete,5.4993361118249595e-06,96,5,4.183871771285812,6.770334460159323,0.005714163120015733,0.356974034437276,1000
205,complete,8.727150088816416e-06,96,5,3.9596939410604897,6.683244802118648,0.004728196961591526,0.3414065342813012,1000
206,complete,4.157111106906086e-06,96,5,2.7188419116289473,5.810238750132064,0.006284827947284677,0.39475061890569335,1000
209,complete,6.055526228010422e-06,96,5,3.3560224481516885,6.87210666700337,0.005280921207311515,0.37587651896876345,1000
210,complete,5.934038654231699e-06,96,5,3.5470232819132095,6.019083815598757,0.004990562125936188,0.37594331749655224,1000
211,complete,5.9622066146403085e-06,96,5,3.754054778171434,6.780554117143796,0.004985779467107168,0.3776485794392292,1000
212,complete,8.896004146663472e-06,96,5,4.1002632689766525,5.809083985256018,0.004757692814872835,0.3692692817431551,1000
218,complete,3.959569767175708e-06,96,5,2.9710799060232485,5.820004118987611,0.008037086140675416,0.8085805057987128,1000
241,complete,3.2978393846860854e-06,96,5,3.9929709448964785,6.262078094575291,0.007840005036599328,0.4234956657155391,1000
249,complete,5.356649580789963e-06,96,5,1.1261610161513833,4.473694877983597,0.006398935825399781,0.43914466996058354,1000
295,complete,4.251950031175511e-06,112,5,1.7363326230928708,3.786235840673293,0.006708463644961844,0.5699143824641906,4000
296,complete,2.9278571673785336e-06,112,5,1.567957634399613,3.699914516045311,0.0067065077174475116,0.5759152539276674,4000
