number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,1.7738031601766124e-05,2026-05-19 10:09:35.361687,2026-05-19 10:09:42.400890,0 days 00:00:07.039203,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,COMPLETE
1,4.306783921492752e-06,2026-05-19 10:09:42.414834,2026-05-19 10:09:46.721577,0 days 00:00:04.306743,112,1.0994335574766196,0.679657809075816,0.008706020878304856,5,0.7994655844802532,2000,COMPLETE
2,0.00011411442392272875,2026-05-19 10:09:46.737717,2026-05-19 10:09:56.283372,0 days 00:00:09.545655,32,11.207606211860567,0.016480446427978974,0.0007309539835912913,2,0.47473748411882516,4000,COMPLETE
3,1.746442103467416e-05,2026-05-19 10:09:56.293563,2026-05-19 10:10:01.438602,0 days 00:00:05.145039,32,8.168455894760163,0.029204338471814112,0.0037183641805732083,3,0.41980426929501585,3000,COMPLETE
4,1.5768113371450454e-05,2026-05-19 10:10:01.448528,2026-05-19 10:10:06.379749,0 days 00:00:04.931221,80,2.1930485556643684,0.26926469100861794,0.00013492834268013249,2,0.8693313223520001,5000,COMPLETE
5,0.009843776002526283,2026-05-19 10:10:06.388981,2026-05-19 10:10:06.719894,0 days 00:00:00.330913,112,23.359635026261596,0.002458603276328005,0.0007591104805282694,3,0.3732229409068673,3000,PRUNED
6,0.10749409347772598,2026-05-19 10:10:06.726068,2026-05-19 10:10:07.022492,0 days 00:00:00.296424,16,21.137059440645725,0.010842262717330166,0.0004201672054372534,6,0.6120408127066865,3000,PRUNED
7,3.3623033232288435e-05,2026-05-19 10:10:07.029555,2026-05-19 10:10:13.833222,0 days 00:00:06.803667,32,75.68292060167619,1.2604664585649468,0.006161049539380964,6,0.6587399872866511,5000,COMPLETE
8,0.08609063178300858,2026-05-19 10:10:13.844442,2026-05-19 10:10:14.000489,0 days 00:00:00.156047,16,4.473636174621264,0.0015167330688076208,0.0005989003672254305,2,0.4628094190643376,5000,PRUNED
9,1.0958566235785838e-05,2026-05-19 10:10:14.008263,2026-05-19 10:10:17.235306,0 days 00:00:03.227043,48,1.9135880487692298,0.14817820606039092,0.0040215545266902904,3,0.3447303862078625,5000,COMPLETE
