trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
0,complete,1.7738031601766124e-05,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000
1,complete,4.306783921492752e-06,112,5,0.679657809075816,1.0994335574766196,0.008706020878304856,0.7994655844802532,2000
2,complete,0.00011411442392272875,32,2,0.016480446427978974,11.207606211860567,0.0007309539835912913,0.47473748411882516,4000
3,complete,1.746442103467416e-05,32,3,0.029204338471814112,8.168455894760163,0.0037183641805732083,0.41980426929501585,3000
4,complete,1.5768113371450454e-05,80,2,0.26926469100861794,2.1930485556643684,0.00013492834268013249,0.8693313223520001,5000
7,complete,3.3623033232288435e-05,32,6,1.2604664585649468,75.68292060167619,0.006161049539380964,0.6587399872866511,5000
9,complete,1.0958566235785838e-05,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000
11,complete,9.453984603169374e-06,80,4,0.12775215110810637,1.078313102013456,0.007791470666172783,0.7444221836847316,2000
12,complete,4.955172698828392e-07,96,4,1.0267094629542988,1.0201113652123812,0.007956692282233665,0.740957287747034,2000
13,complete,5.476701517181937e-06,96,5,4.135860453609436,3.2323534348361185,0.002012962831034317,0.7631577502561161,2000
14,complete,2.3253614926943555e-06,128,4,0.8387744815011882,1.0111248797295136,0.0018766870441105819,0.7410619834032235,2000
15,complete,4.38593224316719e-06,128,4,2.491233903441562,5.069600917348214,0.0018449423462897506,0.6877965078726933,2000
18,complete,2.900482058976195e-06,96,5,1.8701016971334423,1.6995888913376278,0.004903814798968554,0.7014283407227422,4000
22,complete,1.6016019799280912e-06,64,5,1.6566214124230756,1.447195329736351,0.009770906647138616,0.7988634584534464,4000
24,complete,4.61081162939081e-06,64,4,1.1450168560708571,2.7172583687433396,0.009557305500712796,0.7685667439083331,1000
28,complete,5.408117431215942e-06,80,4,0.2973801000562453,1.560920339339959,0.005821540999100251,0.8280401849554162,2000
31,complete,5.790804607386235e-06,96,5,0.6208176242424545,1.637565604820132,0.00467255019176061,0.6747013818979675,4000
32,complete,1.58462523813796e-06,96,5,0.805292750977039,1.367461334416787,0.0028097216009321828,0.786777902876036,4000
41,complete,4.455797352420632e-06,96,5,1.9584821988159875,1.8941327964232046,0.005445904631834304,0.6931198940467117,4000
44,complete,1.317604187534016e-06,80,5,0.8224282553487274,2.289443348802963,0.009988229015155793,0.7044348259731533,5000
49,complete,7.86315126788395e-07,128,5,0.4550089594214893,1.0066998956294553,0.003522685296289495,0.6211801033723706,3000
59,complete,6.017826308379881e-06,112,5,0.9139573169431056,1.3955932525322297,0.005447950049175269,0.7454771540729328,1000
61,complete,2.676256144695799e-06,96,5,2.0355931012391095,1.702805780739623,0.004689923741777986,0.6913840618910632,4000
66,complete,1.9405176772124832e-06,96,4,0.5144263776050009,1.1609173786505864,0.0023244127589321156,0.8189850927609869,5000
81,complete,3.1061308618518524e-06,96,5,1.575121709724153,1.7360239172986618,0.005075082059339355,0.7312537335563348,4000
82,complete,9.027097576108645e-07,96,5,0.9050647559147087,2.0634735266255375,0.003612892496552342,0.6899136450881367,4000
101,complete,7.512921456509503e-06,96,5,1.6584305686478373,1.7479699623805651,0.004864375455748992,0.7293266205808077,4000
102,complete,1.8042904912363156e-06,96,5,1.4307708686758296,2.0352550070059774,0.004085320673605756,0.738188349605704,4000
103,complete,5.0116445891035255e-06,96,5,1.2027383246706702,2.048522946589066,0.004076154135228217,0.49477932346245246,4000
105,complete,3.2281513995258138e-06,96,5,0.716690532449899,1.3870973359990904,0.005879713538881914,0.7786454374134752,4000
113,complete,4.098475073988084e-06,96,5,1.1696097200102342,1.0087228137220372,0.00537881866939701,0.713868707089782,4000
115,complete,4.7756152525835205e-06,80,5,1.9323441862109578,2.05761539834987,0.006542652815164889,0.6892193182102301,4000
121,complete,1.1958262575717526e-06,96,5,0.7591805490120508,1.4591009213191128,0.005576840161140808,0.7815510958171328,4000
129,complete,1.8301381032870268e-07,96,5,0.7831688548785064,1.4539198302877387,0.0009900868746661152,0.5530016971257624,4000
132,complete,1.5503042050113436e-06,96,5,1.043372611239627,2.2032626146384096,0.005075826741189541,0.7112109765330327,4000
141,complete,2.660571453816374e-06,96,5,1.4491281303786971,1.752968131302651,0.005026293277483897,0.7218225716338211,4000
142,complete,1.7381719317199895e-06,96,5,1.0562140175586876,1.8286071441188072,0.00463235374283981,0.7062133120316028,4000
155,complete,5.4218894547375385e-06,128,5,0.7106683515834338,1.2807233401891482,0.003460538948259908,0.7132433153871257,4000
160,complete,4.683531642513117e-06,96,5,0.4316532691924396,2.3852785867341644,0.004524596240270048,0.684278442802822,4000
163,complete,1.0836639603439835e-06,96,5,0.8845510865139159,1.1100180254903662,0.0011448211834792594,0.7040922787696279,4000
171,complete,3.984827799285995e-06,96,5,1.0401783352084808,2.120860364966519,0.004801469456348022,0.7263346160123505,4000
181,complete,8.917011768971861e-07,96,5,0.7716327988862075,1.4012422462873764,0.0059681093875806005,0.7866283697791978,4000
201,complete,5.218345791035972e-07,96,5,1.0357063401290274,2.2057757763015036,0.004887939672050796,0.7193254354259265,4000
212,complete,2.063934289253666e-06,96,5,1.083063318422712,2.1240601666252803,0.004637075763704357,0.716752920320291,4000
225,complete,1.6805420273158234e-06,96,5,1.5272020083054687,2.5883098178449346,0.0040837360698246505,0.7334941723434182,4000
242,complete,6.4839196056709625e-06,96,5,1.234723247572305,1.1905182075305192,0.005107745739399148,0.7278883062094549,4000
250,complete,3.7586153212032514e-06,96,5,0.9747094557629717,1.1973479096040784,0.0048611539689467475,0.732375343500343,4000
257,complete,2.0775939901795937e-06,96,5,1.2144303475736373,1.5070333992521132,0.004570290308478456,0.8230490825883413,4000
285,complete,2.873028506655828e-06,96,5,0.7797220987959248,1.265942325952394,0.0045742205730555366,0.6020539257128,4000
305,complete,5.33983757122769e-06,96,5,1.6472587521658213,1.6863472257023695,0.005148631402219016,0.7900565723291527,4000
322,complete,4.314608474942361e-07,32,5,1.5328231525136886,2.090083959690194,0.005772994046314477,0.7105029224564487,4000
345,complete,5.028844952903455e-06,96,5,0.48354079861604765,1.0012779726227565,0.006223537489623098,0.7397959114131606,4000
364,complete,8.706081189302495e-07,96,5,1.1638490777752248,1.4108480758610615,0.007283875914008666,0.7262151028287476,3000
383,complete,1.720927457427024e-06,96,5,1.1784854712910124,1.4561629363533715,0.004651213844859143,0.684008915092761,4000
401,complete,1.9529500150383683e-06,96,5,0.7606143865734232,1.7146426417972587,0.006135418953479058,0.8363169336649097,4000
451,complete,2.523133844078984e-06,96,5,0.7959110662224363,1.5960460023286258,0.00496886052890558,0.7967073102602702,4000
462,complete,5.076302841189317e-06,80,5,0.8863049050871857,1.0967902674376557,0.004899818539580065,0.7444445580963971,4000
480,complete,5.743071142205736e-06,96,5,0.8429673521424811,1.0013008834137003,0.008254952477459724,0.7485780995610265,4000
482,complete,5.289960881782463e-06,96,6,0.9633465427931681,1.214752936551483,0.006479414219646565,0.6871738117642074,4000
492,complete,7.165361921579461e-07,96,5,0.6997273447710846,1.4369270718091516,0.005989474626187096,0.6922574320615621,3000
499,complete,6.158060159577872e-07,96,5,0.5826110388501822,1.176389787667332,0.006089998624921329,0.6993520335112963,3000
621,complete,1.155941504293878e-06,96,5,0.7886590025278282,2.3616671170465415,0.004759290864049034,0.8128925330172041,3000
656,complete,4.831345904676709e-06,96,5,0.8680334301470818,2.0051849820932564,0.005053418736574157,0.7091888917016816,4000
687,complete,9.568260793457739e-06,112,5,0.09757863902851201,2.140492800340264,0.004808928514460076,0.7408456106165021,4000
693,complete,2.8779661533917533e-06,96,5,1.1906581013516977,1.4944776886842874,0.004954634806835558,0.732342600639787,4000
700,complete,4.0959218949865317e-07,96,5,0.9128118228930965,1.5981848012685616,0.004622652822791769,0.8013914097985748,3000
709,complete,1.9761957901209826e-06,96,5,1.059041795853693,1.3607301392889304,0.004426301482803368,0.744843856986986,3000
729,complete,4.236332642904017e-06,96,5,0.46844941462780526,1.4402486588676204,0.005564174542783651,0.7100569125601107,3000
750,complete,2.0359807422209997e-06,96,5,1.0867022313260313,1.3762658394048035,0.008650838819975344,0.6933467870202481,3000
801,complete,4.653847099689301e-06,96,5,0.8157400355045257,4.235804854546977,0.004738127728291035,0.7063301628552718,4000
814,complete,6.525227149722923e-07,96,5,1.0933850116514634,2.1644885367981757,0.005829119141235772,0.5274479690607857,3000
821,complete,4.010941211163299e-06,80,5,1.6042435843740208,2.5108321892076795,0.005984299015411949,0.5396290858037237,4000
861,complete,2.4554824449296575e-06,96,5,1.2093470062756448,1.6426556048401273,0.00470014982473534,0.668877622191474,5000
875,complete,2.79711207440414e-06,96,5,0.6765179102233289,1.3024819121867681,0.003777434115139987,0.6163448630640556,4000
923,complete,1.3623197219203576e-06,96,5,1.3364791996202885,1.878951221877096,0.0055220190795576395,0.7311798721281654,4000
994,complete,8.988883450911089e-07,96,5,0.8378631860560383,1.6497498432619238,0.005463945767587698,0.7278146564208257,3000
