number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,0.042154401540756226,2026-05-19 09:29:48.358696,2026-05-19 09:30:21.763299,0 days 00:00:33.404603,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,COMPLETE
1,0.0001547355786897242,2026-05-19 09:30:21.785281,2026-05-19 09:30:37.058383,0 days 00:00:15.273102,112,1.0994335574766196,0.679657809075816,0.008706020878304856,5,0.7994655844802532,2000,COMPLETE
2,0.016336439177393913,2026-05-19 09:30:37.074235,2026-05-19 09:31:18.430714,0 days 00:00:41.356479,32,11.207606211860567,0.016480446427978974,0.0007309539835912913,2,0.47473748411882516,4000,COMPLETE
3,0.0001680452551227063,2026-05-19 09:31:18.448373,2026-05-19 09:31:47.536263,0 days 00:00:29.087890,32,8.168455894760163,0.029204338471814112,0.0037183641805732083,3,0.41980426929501585,3000,COMPLETE
4,0.006634157616645098,2026-05-19 09:31:47.551370,2026-05-19 09:33:01.889670,0 days 00:01:14.338300,80,2.1930485556643684,0.26926469100861794,0.00013492834268013249,2,0.8693313223520001,5000,COMPLETE
5,0.29976171255111694,2026-05-19 09:33:01.903865,2026-05-19 09:33:02.101005,0 days 00:00:00.197140,112,23.359635026261596,0.002458603276328005,0.0007591104805282694,3,0.3732229409068673,3000,PRUNED
6,0.3486267030239105,2026-05-19 09:33:02.107163,2026-05-19 09:33:02.374503,0 days 00:00:00.267340,16,21.137059440645725,0.010842262717330166,0.0004201672054372534,6,0.6120408127066865,3000,PRUNED
7,0.00023781035270076245,2026-05-19 09:33:02.381337,2026-05-19 09:33:25.443528,0 days 00:00:23.062191,32,75.68292060167619,1.2604664585649468,0.006161049539380964,6,0.6587399872866511,5000,COMPLETE
8,0.3254525065422058,2026-05-19 09:33:25.456997,2026-05-19 09:33:25.623133,0 days 00:00:00.166136,16,4.473636174621264,0.0015167330688076208,0.0005989003672254305,2,0.4628094190643376,5000,PRUNED
9,5.5455806432291865e-05,2026-05-19 09:33:25.629644,2026-05-19 09:33:44.725437,0 days 00:00:19.095793,48,1.9135880487692298,0.14817820606039092,0.0040215545266902904,3,0.3447303862078625,5000,COMPLETE
10,0.11040355265140533,2026-05-19 09:33:44.741363,2026-05-19 09:33:45.349961,0 days 00:00:00.608598,80,1.0862348973937128,7.553503645583189,0.002323884211939932,4,0.3232351199767098,4000,PRUNED
