trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
0,complete,0.042154401540756226,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000
1,complete,0.0001547355786897242,112,5,0.679657809075816,1.0994335574766196,0.008706020878304856,0.7994655844802532,2000
2,complete,0.016336439177393913,32,2,0.016480446427978974,11.207606211860567,0.0007309539835912913,0.47473748411882516,4000
3,complete,0.0001680452551227063,32,3,0.029204338471814112,8.168455894760163,0.0037183641805732083,0.41980426929501585,3000
4,complete,0.006634157616645098,80,2,0.26926469100861794,2.1930485556643684,0.00013492834268013249,0.8693313223520001,5000
7,complete,0.00023781035270076245,32,6,1.2604664585649468,75.68292060167619,0.006161049539380964,0.6587399872866511,5000
9,complete,5.5455806432291865e-05,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000
11,complete,0.0004187839513178915,128,5,0.12775215110810637,1.078313102013456,0.007791470666172783,0.7895912314730211,1000
12,complete,5.1085295126540586e-05,96,4,0.5748594743060444,2.7271383314841704,0.0019837097847729287,0.7366591367648677,2000
15,complete,2.9614111554110423e-05,64,4,0.26563870172817117,2.070551589646306,0.0036469675188758413,0.5480484598156278,4000
16,complete,7.406856457237154e-05,96,4,0.2866629615019467,5.887056496896424,0.002912348358732718,0.5491398822456548,4000
18,complete,0.00039230799302458763,96,5,0.04538659094636796,2.6623228883155368,0.004206261328868769,0.5332615168718318,4000
24,complete,9.900773875415325e-05,48,3,0.5475779669393706,1.5921922401091224,0.005601486345957139,0.5878840636873497,4000
27,complete,0.00012482736201491207,80,3,0.03686249772453947,3.2427175912637134,0.00963572847389805,0.34626930171574455,2000
33,complete,0.00024152676633093506,96,5,0.14268649615825924,2.5704995411795304,0.004484512855079244,0.43749282802647516,4000
35,complete,0.00010009144898504019,64,5,0.3014122042679678,2.192057150741131,0.0038444869638370343,0.825132250303114,2000
41,complete,0.00012282807438168675,48,3,0.5529126569316912,1.5618748031782717,0.006005803645911507,0.5933135011184025,4000
44,complete,0.00013893806317355484,64,4,0.18344948229722857,1.7432943138604147,0.005840493171108409,0.609423354765859,3000
51,complete,0.0001552767789689824,64,5,0.2995308582923625,2.2294159781886362,0.004084814613690407,0.8192715085776944,2000
52,complete,0.00016406551003456116,64,6,0.43859462006247263,1.8938817640983774,0.0035012994978910863,0.8288801930138745,2000
54,complete,0.00013139858492650092,80,5,0.2779297858746365,1.6911715267440435,0.004762342498568603,0.7726626627878281,3000
66,complete,5.000128658139147e-05,64,4,0.9086844359724805,1.5168730257058265,0.00989670783320152,0.8108616147013324,5000
67,complete,8.340013300767168e-05,64,4,0.9523791363220887,1.2414497489260734,0.009184374369929693,0.8065477109648651,5000
69,complete,6.354934157570824e-05,64,4,0.9494386915798098,1.1650445657234192,0.008295652619818931,0.8544588320907119,5000
75,complete,8.865343261277303e-05,64,4,0.41777660564705765,1.4380114206403187,0.005056476617591897,0.7627853113981102,5000
98,complete,8.618267020210624e-05,64,3,0.5555757701166606,1.578521707587353,0.007276745732891435,0.5729105717694102,4000
101,complete,9.96067319647409e-05,64,3,0.3157692782203527,1.126358213707789,0.006176646656775261,0.5766630005394348,4000
113,complete,0.00014717686281073838,64,6,0.2637474643663436,2.0722932971958636,0.00727629742379316,0.8831169369359005,5000
126,complete,0.0002140431315638125,64,4,0.43902181810532054,2.7173424141396927,0.007278822114827058,0.8009820153937132,4000
139,complete,0.00019650696776807308,80,5,0.37189478643399804,1.315396086581606,0.004194641828607691,0.3204405392343187,5000
142,complete,0.00011256244033575058,80,5,0.19309706495176177,1.6528859411385157,0.005642690267680822,0.7814590534513975,2000
143,complete,0.000152498425450176,80,5,0.1746841775833473,1.5812275718399496,0.006532398892690161,0.789149129742568,2000
161,complete,0.00033324025571346283,64,4,0.19356084750134192,1.6521891847381527,0.007230345064133898,0.60968398016731,3000
164,complete,0.00011003673716913909,64,4,0.24658955755259743,1.7419082937645118,0.008956486281407635,0.4651538631574761,3000
165,complete,5.663335105055012e-05,64,4,0.26546650536394356,1.3666084240794134,0.008752125251906169,0.3861392633624787,3000
166,complete,6.812177161918953e-05,64,4,0.2598100377733491,1.3289969476889159,0.009132759782977966,0.4614516944088678,3000
167,complete,7.211905904114246e-05,64,4,0.25959227846419863,1.006780013522659,0.008771135931217382,0.4427548770186932,3000
168,complete,6.849853525636718e-05,64,4,0.23475345349974824,1.0459473071775909,0.00880853690969486,0.4591767328540477,3000
169,complete,0.0001020341514959,64,4,0.26711297937354317,1.0437039345153432,0.008629159445963092,0.45268868882276286,3000
171,complete,0.00016076739120762795,64,4,0.2492088420603597,1.136339866063056,0.008956151867027149,0.4516393332261805,3000
172,complete,0.0001644583826418966,64,4,0.22587488530768085,1.0419545861488417,0.009950566605050719,0.4653237119438607,3000
173,complete,0.0002724781516008079,64,4,0.3361344068927337,1.2143018684542808,0.008142790025402061,0.4349693063763256,3000
174,complete,0.00011074160283897072,64,4,0.1403467121956985,1.0246993778128017,0.009175062437002893,0.41021416292739643,3000
175,complete,0.00018497343990020454,64,4,0.43482664447429653,1.2931298260189132,0.00829342072950091,0.46158411517130316,3000
177,complete,5.208231232245453e-05,64,4,0.21687328502133751,1.3861484370634176,0.008975813520408386,0.4772635774985592,3000
178,complete,0.00014000179362483323,64,4,0.20757819892303023,1.3784832714382467,0.007751350236101672,0.4967569261715852,3000
179,complete,0.00023310289543587714,64,4,0.2834249453252387,1.0003646379250501,0.009395610875646101,0.4867143330260565,3000
