number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,0.0023489741142839193,2026-05-17 19:15:08.417801,2026-05-17 19:15:23.002107,0 days 00:00:14.584306,0.9712646604084909,0.9959510386162578,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,COMPLETE
1,0.0024011917412281036,2026-05-17 19:15:23.014212,2026-05-17 19:15:29.182222,0 days 00:00:06.168010,0.8925939140143353,0.9951950886731592,96,46.22589001020831,7.579479953348009,0.00026587543983272726,2,0.4090949803242604,1000,COMPLETE
2,0.002353222807869315,2026-05-17 19:15:29.190787,2026-05-17 19:15:36.694174,0 days 00:00:07.503387,0.9599246345950219,0.9919767704433677,64,1.9010245319870354,0.2801635158716261,0.0003839629299804173,3,0.5198171059762151,3000,COMPLETE
3,0.002373484428972006,2026-05-17 19:15:36.701628,2026-05-17 19:15:48.487000,0 days 00:00:11.785372,0.9851884846304383,0.998003133746353,80,16.40928673064792,0.0015339162591163618,0.00021930485556643703,4,0.3390309557911677,5000,COMPLETE
4,0.002358228899538517,2026-05-17 19:15:48.498212,2026-05-17 19:15:54.668929,0 days 00:00:06.170717,0.9773048562910295,0.9925619218178402,48,7.591104805282694,0.5456725485601477,0.00017541893487450815,2,0.5971061460667622,1000,COMPLETE
5,0.0889451876282692,2026-05-17 19:15:54.676810,2026-05-17 19:15:54.851948,0 days 00:00:00.175138,0.9815298518189864,0.9988587907692338,96,12.399967836846093,0.12030178871154672,0.00023426581058204064,3,0.8817507766587351,4000,PRUNED
6,0.07081922143697739,2026-05-17 19:15:54.858982,2026-05-17 19:15:55.082082,0 days 00:00:00.223100,0.8879888644483455,0.9982045013406041,80,2.4658447214487373,0.002259279742015696,0.00012315571723666037,6,0.49519819845795865,2000,PRUNED
7,0.0023748360108584166,2026-05-17 19:15:55.089133,2026-05-17 19:16:05.058060,0 days 00:00:09.968927,0.9581142677015321,0.9919672852471884,48,1.9135880487692298,0.14817820606039092,0.0040215545266902904,3,0.3447303862078625,5000,COMPLETE
8,0.002364576328545809,2026-05-17 19:16:05.067475,2026-05-17 19:16:19.878482,0 days 00:00:14.811007,0.8662216683335181,0.9985447239161683,16,28.70875348195468,0.6720930050156113,0.0034877126245459306,6,0.3444267910404542,2000,COMPLETE
9,0.028710974380373955,2026-05-17 19:16:19.886782,2026-05-17 19:16:20.071938,0 days 00:00:00.185156,0.9742097839606857,0.9946749277591033,80,4.187594718900626,0.0017956984225677636,0.0004470608546778491,3,0.7377637070028384,4000,PRUNED
10,0.06533858925104141,2026-05-17 19:16:20.078547,2026-05-17 19:16:20.283721,0 days 00:00:00.205174,0.9372727126081251,0.9956484238623287,128,73.21173243252595,0.017012841103468537,0.001103265464618734,5,0.7141482441414871,2000,PRUNED
11,0.04396712779998779,2026-05-17 19:16:20.289713,2026-05-17 19:16:20.508229,0 days 00:00:00.218516,0.9350057983646516,0.9900895645804497,48,1.3997633330867796,3.0577558267160976,0.000739115897463125,5,0.505509596242654,3000,PRUNED
