trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
0,complete,0.0023489741142839193,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000,0.9712646604084909,0.9959510386162578
1,complete,0.0024011917412281036,96,2,7.579479953348009,46.22589001020831,0.00026587543983272726,0.4090949803242604,1000,0.8925939140143353,0.9951950886731592
2,complete,0.002353222807869315,64,3,0.2801635158716261,1.9010245319870354,0.0003839629299804173,0.5198171059762151,3000,0.9599246345950219,0.9919767704433677
3,complete,0.002373484428972006,80,4,0.0015339162591163618,16.40928673064792,0.00021930485556643703,0.3390309557911677,5000,0.9851884846304383,0.998003133746353
4,complete,0.002358228899538517,48,2,0.5456725485601477,7.591104805282694,0.00017541893487450815,0.5971061460667622,1000,0.9773048562910295,0.9925619218178402
7,complete,0.0023748360108584166,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000,0.9581142677015321,0.9919672852471884
8,complete,0.002364576328545809,16,6,0.6720930050156113,28.70875348195468,0.0034877126245459306,0.3444267910404542,2000,0.8662216683335181,0.9985447239161683
17,complete,0.002341160085052252,112,5,0.3172350889991854,29.774116313691238,0.0017904319826816592,0.5529444411486362,1000,0.9451181730903084,0.9998118760748022
20,complete,0.0023777333553880453,112,5,9.658318826868332,43.30246618698513,0.006520045173988281,0.5541230354891601,2000,0.8516269346278574,0.9998390435719922
30,complete,0.0023660839069634676,48,6,0.21967810706513036,5.472974162875081,0.0017517449832933941,0.46751903186548976,2000,0.9292119972545327,0.9902060151890628
41,complete,0.0023709230590611696,16,6,0.6669519971934834,23.90853849907464,0.003236584289516509,0.3321277287814543,2000,0.8520720882899544,0.9986637051785054
42,complete,0.0023659146390855312,32,6,4.761483275261677,29.433091816307034,0.004246822616247162,0.3474163980602864,2000,0.8591658494025599,0.9994469186425685
44,complete,0.0023474895860999823,48,6,0.1987535928771813,1.1850017402002953,0.0025993211583144995,0.3071160237681454,1000,0.8696096426680888,0.9973069449544247
45,complete,0.0023680871818214655,48,6,0.16226194184561843,1.0710377247643357,0.0013284875118206678,0.3176922960309674,1000,0.8966099613535606,0.9959638173877833
47,complete,0.0023785948287695646,48,6,0.974687142167388,2.971762305860959,0.0023239694780249633,0.571284902154468,1000,0.8711417435141744,0.994782936760758
50,complete,0.002381853060796857,128,4,0.3044771338803658,4.464632055604505,0.0010994683258447556,0.4814827472900801,3000,0.96086070522382,0.9931312889363622
61,complete,0.0023739722091704607,32,6,5.174723014929201,27.52648818186042,0.004396494339249614,0.3464387415930349,2000,0.8605308024949956,0.9995125590752792
62,complete,0.0023779375478625298,32,6,9.897192516078462,32.56224810418095,0.003777237517578807,0.3003181287786112,3000,0.85854370238763,0.9998846659926188
64,complete,0.0023546020966023207,32,6,2.7959152484409824,38.063680173776376,0.003232336379766471,0.3388350137085758,4000,0.8745649750837576,0.9987692815297747
