number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,0.0026152071077376604,2026-05-17 19:25:04.634787,2026-05-17 19:25:19.182136,0 days 00:00:14.547349,0.9712646604084909,0.9959510386162578,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,COMPLETE
1,0.002610713243484497,2026-05-17 19:25:19.193809,2026-05-17 19:25:25.454302,0 days 00:00:06.260493,0.8925939140143353,0.9951950886731592,96,46.22589001020831,7.579479953348009,0.00026587543983272726,2,0.4090949803242604,1000,COMPLETE
2,0.0025805479381233454,2026-05-17 19:25:25.466000,2026-05-17 19:25:33.487895,0 days 00:00:08.021895,0.9599246345950219,0.9919767704433677,64,1.9010245319870354,0.2801635158716261,0.0003839629299804173,3,0.5198171059762151,3000,COMPLETE
3,0.002817704575136304,2026-05-17 19:25:33.498192,2026-05-17 19:25:44.568887,0 days 00:00:11.070695,0.9851884846304383,0.998003133746353,80,16.40928673064792,0.0015339162591163618,0.00021930485556643703,4,0.3390309557911677,5000,COMPLETE
4,0.0026241405867040157,2026-05-17 19:25:44.577366,2026-05-17 19:25:51.311964,0 days 00:00:06.734598,0.9773048562910295,0.9925619218178402,48,7.591104805282694,0.5456725485601477,0.00017541893487450815,2,0.5971061460667622,1000,COMPLETE
5,0.049725182354450226,2026-05-17 19:25:51.322139,2026-05-17 19:25:51.501095,0 days 00:00:00.178956,0.9815298518189864,0.9988587907692338,96,12.399967836846093,0.12030178871154672,0.00023426581058204064,3,0.8817507766587351,4000,PRUNED
6,0.03328261151909828,2026-05-17 19:25:51.509017,2026-05-17 19:25:51.734914,0 days 00:00:00.225897,0.8879888644483455,0.9982045013406041,80,2.4658447214487373,0.002259279742015696,0.00012315571723666037,6,0.49519819845795865,2000,PRUNED
7,0.002587301656603813,2026-05-17 19:25:51.741385,2026-05-17 19:26:01.527393,0 days 00:00:09.786008,0.9581142677015321,0.9919672852471884,48,1.9135880487692298,0.14817820606039092,0.0040215545266902904,3,0.3447303862078625,5000,COMPLETE
8,0.0032792745623737574,2026-05-17 19:26:01.535255,2026-05-17 19:26:10.195324,0 days 00:00:08.660069,0.8662216683335181,0.9985447239161683,16,28.70875348195468,0.6720930050156113,0.0034877126245459306,6,0.3444267910404542,2000,PRUNED
9,0.00732431560754776,2026-05-17 19:26:10.203162,2026-05-17 19:26:10.386936,0 days 00:00:00.183774,0.9742097839606857,0.9946749277591033,80,4.187594718900626,0.0017956984225677636,0.0004470608546778491,3,0.7377637070028384,4000,PRUNED
10,0.0027762185782194138,2026-05-17 19:26:10.394756,2026-05-17 19:26:12.524523,0 days 00:00:02.129767,0.9373716938041312,0.9903950846036229,128,1.0862348973937128,0.017012841103468537,0.0010117248921128362,4,0.6127398530010302,3000,PRUNED
11,0.002656410215422511,2026-05-17 19:26:12.531094,2026-05-17 19:26:18.801070,0 days 00:00:06.269976,0.9350057983646516,0.9912658089791221,48,1.096686437029887,0.057517078442021106,0.0060405997416220865,3,0.5172313552435481,5000,PRUNED
12,0.037575576454401016,2026-05-17 19:26:18.808015,2026-05-17 19:26:18.983967,0 days 00:00:00.175952,0.9436076105389688,0.9929842250719474,16,2.597602599591778,0.13695458452815676,0.001634443892051571,3,0.46540512372640186,3000,PRUNED
13,0.002602127380669117,2026-05-17 19:26:18.991494,2026-05-17 19:26:32.345585,0 days 00:00:13.354091,0.9526765855538636,0.9929761452286874,32,99.7068227503645,5.213557994267063,0.00871236310240285,5,0.598137997847344,4000,COMPLETE
14,0.0051394272595644,2026-05-17 19:26:32.356030,2026-05-17 19:26:32.509642,0 days 00:00:00.153612,0.9177283750847199,0.9914623306133666,64,2.465233025381011,0.016733504957755496,0.0005498965158356375,2,0.6907367586253796,2000,PRUNED
15,0.007737860549241304,2026-05-17 19:26:32.518579,2026-05-17 19:26:32.716529,0 days 00:00:00.197950,0.9565485286596831,0.9940797251231583,64,5.519445424069451,1.508625542422029,0.0021173354426106926,4,0.4488957788000909,3000,PRUNED
16,0.017532015219330788,2026-05-17 19:26:32.723434,2026-05-17 19:26:32.923781,0 days 00:00:00.200347,0.9155600369734119,0.9901304742223711,32,1.695825930242964,0.04435278253453025,0.0006636631995297949,4,0.3097359576925744,5000,PRUNED
17,0.002581915119662881,2026-05-17 19:26:32.930417,2026-05-17 19:26:44.039084,0 days 00:00:11.108667,0.9612988996927061,0.9966452459767705,112,4.449267375059675,0.24379041467862048,0.004362482783055189,5,0.5281096358316664,4000,COMPLETE
18,0.014807953499257565,2026-05-17 19:26:44.048150,2026-05-17 19:26:44.271668,0 days 00:00:00.223518,0.964202177223336,0.9966833903679334,128,3.912349587522802,1.9224044891864362,0.0011194683499419135,5,0.5596765150144435,4000,PRUNED
19,0.006217905320227146,2026-05-17 19:26:44.278587,2026-05-17 19:26:44.499190,0 days 00:00:00.220603,0.9035495842310006,0.9969000914363141,112,7.306604028787637,0.006389317704841252,0.0025593666833715186,5,0.6868928306446693,4000,PRUNED
20,0.0026023148093372583,2026-05-17 19:26:44.505195,2026-05-17 19:26:57.447497,0 days 00:00:12.942302,0.8516269346278574,0.9998390435719922,112,4.13022317151002,0.3122465181237046,0.0003785381471378286,5,0.8031522400235495,3000,COMPLETE
21,0.0031952043063938618,2026-05-17 19:26:57.456225,2026-05-17 19:26:57.774094,0 days 00:00:00.317869,0.9530925134017911,0.9921392170100637,64,1.648735943163435,0.2444436163607056,0.004665922201413229,3,0.4022863109249578,5000,PRUNED
22,0.009097686968743801,2026-05-17 19:26:57.781647,2026-05-17 19:26:57.947922,0 days 00:00:00.166275,0.9292653822086199,0.9936161923410664,96,1.739982160038098,0.051142256967183115,0.009242378010774006,3,0.5418489570471752,4000,PRUNED
23,0.0056426040828228,2026-05-17 19:26:57.954845,2026-05-17 19:26:58.099701,0 days 00:00:00.144856,0.964075813670824,0.9915901840664776,32,3.013423038568787,0.26390350693043674,0.005101397321956088,2,0.44628185787180946,5000,PRUNED
24,0.06017844378948212,2026-05-17 19:26:58.106851,2026-05-17 19:26:58.295487,0 days 00:00:00.188636,0.9887613429900927,0.9953401634218981,48,1.4589623892803176,2.06555579671817,0.0032266771162190342,4,0.6498101873500138,4000,PRUNED
25,0.006041054148226976,2026-05-17 19:26:58.302757,2026-05-17 19:26:58.489415,0 days 00:00:00.186658,0.943671751372821,0.9938850958815487,64,5.9771274164887025,0.09462843288677998,0.001391460307246185,4,0.5038909941226181,5000,PRUNED
26,0.007550247013568878,2026-05-17 19:26:58.496938,2026-05-17 19:26:58.707048,0 days 00:00:00.210110,0.9635058246694617,0.9970040551981662,112,3.0251720295517974,0.017224986186476197,0.0007152208531288381,5,0.5596521884875085,3000,PRUNED
27,0.0025972151197493076,2026-05-17 19:26:58.714503,2026-05-17 19:27:07.349944,0 days 00:00:08.635441,0.9248026086397614,0.9960339853550542,80,2.00227614677457,0.3369427056859662,0.003951252273446936,3,0.38326862254115346,3000,COMPLETE
28,0.015230483375489712,2026-05-17 19:27:07.359074,2026-05-17 19:27:07.502870,0 days 00:00:00.143796,0.9479578079707127,0.990810764786273,32,1.233814511909745,0.030276777411954232,0.00216182292322463,2,0.47579538785524117,2000,PRUNED
29,0.0041079274378716946,2026-05-17 19:27:07.510151,2026-05-17 19:27:07.743641,0 days 00:00:00.233490,0.9695336377373045,0.9959423875310387,48,10.431777405517634,1.2388086106930052,0.006669126170899067,6,0.36582686022531546,4000,PRUNED
30,0.009502040222287178,2026-05-17 19:27:07.749604,2026-05-17 19:27:07.937630,0 days 00:00:00.188026,0.9574383697473451,0.9922167902202658,96,3.7229658128001115,3.551621159227262,0.000352472573946164,4,0.42522103265230327,5000,PRUNED
31,0.0025868958327919245,2026-05-17 19:27:07.943613,2026-05-17 19:27:15.843276,0 days 00:00:07.899663,0.907102945427105,0.9959648536112908,80,2.1470454395189913,0.45065234090140044,0.003778988710731948,3,0.3106279829118741,3000,COMPLETE
32,0.0025796936824917793,2026-05-17 19:27:15.850882,2026-05-17 19:27:25.710843,0 days 00:00:09.859961,0.8910458610296235,0.9946361768492759,64,2.108606049121433,0.5403245191841263,0.0028633065984043716,3,0.3054243462282571,3000,COMPLETE
33,0.002659146673977375,2026-05-17 19:27:25.722387,2026-05-17 19:27:26.665594,0 days 00:00:00.943207,0.884092037627028,0.9973825545213035,80,4.683011928048707,0.565180615483661,0.002820532430417478,3,0.3037234690992053,3000,PRUNED
34,0.007203294429928064,2026-05-17 19:27:26.671891,2026-05-17 19:27:26.816288,0 days 00:00:00.144397,0.8992798567052916,0.9947069968054666,64,2.2554313509512545,0.8413373916469324,0.006870433888709346,2,0.40714749497007324,3000,PRUNED
35,0.002585741225630045,2026-05-17 19:27:26.822442,2026-05-17 19:27:38.103794,0 days 00:00:11.281352,0.8745522302586117,0.9957729233667533,96,3.13810609138153,0.4409472288385537,0.0016168673704232046,4,0.30907460227211464,2000,COMPLETE
36,0.0038530065212398767,2026-05-17 19:27:38.113076,2026-05-17 19:27:38.382143,0 days 00:00:00.269067,0.8731250472393743,0.9951976339982638,112,16.08632915870813,0.17638591645897816,0.0016052615189246415,5,0.3663159100679231,1000,PRUNED
37,0.017837032675743103,2026-05-17 19:27:38.389301,2026-05-17 19:27:38.577690,0 days 00:00:00.188389,0.8758114948661632,0.9964766046533304,96,8.194256647883849,0.08323728820080992,0.00016110111293945147,4,0.8862879892899421,2000,PRUNED
38,0.0027161906473338604,2026-05-17 19:27:38.584003,2026-05-17 19:27:39.670699,0 days 00:00:01.086696,0.8658961023878398,0.9977704543960357,96,25.136148701684306,1.0303267520927326,0.0020808478303553347,4,0.7999622009212531,1000,PRUNED
39,0.0037513975985348225,2026-05-17 19:27:39.676743,2026-05-17 19:27:39.914124,0 days 00:00:00.237381,0.8519123869113064,0.9943445909378503,128,5.5502681979504365,0.49100142370485067,0.0007872167352837037,6,0.33731882866497676,2000,PRUNED
40,0.04311499372124672,2026-05-17 19:27:39.920109,2026-05-17 19:27:40.134898,0 days 00:00:00.214789,0.8934249836535102,0.9954478085458288,96,2.9882492442731983,9.767514128387644,0.00031229331595292935,5,0.5232284277991572,2000,PRUNED
41,0.0025802236050367355,2026-05-17 19:27:40.141021,2026-05-17 19:27:48.564373,0 days 00:00:08.423352,0.896794889294049,0.9958565748404195,80,1.3669203228047533,0.3901901716631332,0.002720988007616506,3,0.30293290768896197,3000,COMPLETE
42,0.0027005635201931,2026-05-17 19:27:48.573067,2026-05-17 19:27:49.172679,0 days 00:00:00.599612,0.8811447784434147,0.9961936178107521,80,1.4064209188941514,0.1752714923185222,0.001380044046967855,3,0.33337277309096464,3000,PRUNED
43,0.004528363700956106,2026-05-17 19:27:49.179113,2026-05-17 19:27:49.349553,0 days 00:00:00.170440,0.8922226541566244,0.9974239888502198,80,1.0266710605637483,0.42107663681180346,0.0026123510527459983,3,0.3742371410564151,2000,PRUNED
44,0.0028554138261824846,2026-05-17 19:27:49.355812,2026-05-17 19:27:49.602333,0 days 00:00:00.246521,0.911163029624424,0.9955260502711153,112,3.155545308147996,0.7101042630219908,0.0018379139584822261,2,0.4223573962633852,3000,PRUNED
45,0.002595239784568548,2026-05-17 19:27:49.608699,2026-05-17 19:27:59.956794,0 days 00:00:10.348095,0.8628678704031721,0.9934018325283445,64,1.293472954041213,0.222644047263083,0.004893644077003058,4,0.6203577729768562,4000,COMPLETE
46,0.0746890977025032,2026-05-17 19:27:59.965194,2026-05-17 19:28:00.143261,0 days 00:00:00.178067,0.9796956885521306,0.9944867853665983,96,2.399710683925473,3.3628576427067567,0.00011791895996429601,3,0.34349759290056064,1000,PRUNED
47,0.003574804635718465,2026-05-17 19:28:00.149213,2026-05-17 19:28:00.345362,0 days 00:00:00.196149,0.8973845613668875,0.9988537604994734,80,1.8661563717475103,0.13544127542325984,0.001197347207338074,4,0.47988138980791195,3000,PRUNED
48,0.008153247646987438,2026-05-17 19:28:00.351371,2026-05-17 19:28:00.503600,0 days 00:00:00.152229,0.887305729144836,0.9950259254052711,64,3.524756110221208,0.07592467083796883,0.0008276593006935135,2,0.31985615705602466,2000,PRUNED
49,0.0026755642611533403,2026-05-17 19:28:00.509828,2026-05-17 19:28:01.345825,0 days 00:00:00.835997,0.8732689327057019,0.9927041284072444,48,4.891680720644104,0.8039344402433564,0.0031771434236675194,3,0.4385318999513279,4000,PRUNED
50,0.004577853716909885,2026-05-17 19:28:01.352622,2026-05-17 19:28:01.520896,0 days 00:00:00.168274,0.8801648463482465,0.9965199411000967,96,7.0770222470162825,0.3514870378527674,0.0002296592262734138,3,0.36852569171748395,3000,PRUNED
51,0.003739465493708849,2026-05-17 19:28:01.527182,2026-05-17 19:28:01.694571,0 days 00:00:00.167389,0.9057007654934118,0.995751679056599,80,2.2397487279747548,0.5222965022579834,0.0037444808307055205,3,0.3018252988021973,3000,PRUNED
52,0.0026040375232696533,2026-05-17 19:28:01.700899,2026-05-17 19:28:11.063268,0 days 00:00:09.362369,0.9128090307900324,0.9962457427336197,80,1.4946059668915224,0.2172928239313447,0.0026403236001084304,3,0.32313778922661335,3000,COMPLETE
53,0.04060034081339836,2026-05-17 19:28:11.072680,2026-05-17 19:28:11.261479,0 days 00:00:00.188799,0.907138670392813,0.997109727531306,64,2.097099220302046,1.8461020377835806,0.0042004246775967985,3,0.5772541252163615,4000,PRUNED
54,0.00833931751549244,2026-05-17 19:28:11.268553,2026-05-17 19:28:11.411024,0 days 00:00:00.142471,0.9008075240504796,0.9957897491267383,112,90.23647785913079,0.41997750524516675,0.006008473431093494,2,0.3951747885758875,3000,PRUNED
55,0.005280694924294949,2026-05-17 19:28:11.417780,2026-05-17 19:28:11.608435,0 days 00:00:00.190655,0.9254584125927723,0.9980506152300188,80,2.707401604770591,1.042349432844709,0.002297680768645638,4,0.35045222241981977,2000,PRUNED
56,0.0027991002425551414,2026-05-17 19:28:11.614987,2026-05-17 19:28:11.912682,0 days 00:00:00.297695,0.8920332457337102,0.9948969136056528,64,1.1779306932538784,0.11391245889934003,0.0017274697783649254,3,0.3228806161772883,3000,PRUNED
57,0.0033966568298637867,2026-05-17 19:28:11.919197,2026-05-17 19:28:12.257814,0 days 00:00:00.338617,0.9391974735580347,0.9967428218542546,96,1.663147871304481,0.6579395946910546,0.0004821738285315885,4,0.356026604595472,4000,PRUNED
58,0.004060632083564997,2026-05-17 19:28:12.264147,2026-05-17 19:28:12.502873,0 days 00:00:00.238726,0.9707216853126742,0.9976643152381867,48,2.6539980189011962,0.29263005190423685,0.0032409790540612908,6,0.6472187208158839,4000,PRUNED
59,0.02291046641767025,2026-05-17 19:28:12.508830,2026-05-17 19:28:12.673339,0 days 00:00:00.164509,0.9315522036716422,0.9940355176387183,80,1.7998132863251974,1.4374926437671067,0.00750810763671034,3,0.5387070249658443,1000,PRUNED
60,0.0026043253019452095,2026-05-17 19:28:12.679743,2026-05-17 19:28:25.213704,0 days 00:00:12.533961,0.9209939128234685,0.9996937055672481,128,3.3821701439529828,0.1662035556652346,0.0058324952001685,5,0.7160656800843503,3000,COMPLETE
61,0.0058983610942959785,2026-05-17 19:28:25.221727,2026-05-17 19:28:25.386801,0 days 00:00:00.165074,0.9591979131562268,0.99157757290186,48,1.9500773827886315,0.41447699233686797,0.0044831585256791305,3,0.3033537007781363,5000,PRUNED
62,0.004922280553728342,2026-05-17 19:28:25.392805,2026-05-17 19:28:25.560546,0 days 00:00:00.167741,0.9774237366690617,0.992057532161126,48,1.4838099740234163,0.2542423086111921,0.003796710965962768,3,0.3377741766775361,3000,PRUNED
63,0.006063101347535849,2026-05-17 19:28:25.566961,2026-05-17 19:28:25.739045,0 days 00:00:00.172084,0.9493694176664916,0.9909788454352836,64,4.539066041915309,0.06752970174206566,0.0053193675725148664,3,0.3844460740916817,5000,PRUNED
64,0.012500426732003689,2026-05-17 19:28:25.744951,2026-05-17 19:28:25.887188,0 days 00:00:00.142237,0.9845385661342881,0.9907109268932263,16,2.1192309182719273,0.12198054363332811,0.00296440808133555,2,0.30189630883652563,3000,PRUNED
65,0.00488069374114275,2026-05-17 19:28:25.893541,2026-05-17 19:28:26.058495,0 days 00:00:00.164954,0.9654223795474863,0.9935351657829509,64,13.208981659580811,0.17639754629151477,0.0022502898658811367,3,0.35304732853909965,4000,PRUNED
66,0.003664266085252166,2026-05-17 19:28:26.064742,2026-05-17 19:28:26.230848,0 days 00:00:00.166106,0.9736880387256436,0.9918371405223309,32,2.670696539381269,0.309713903304633,0.003612892496552342,3,0.46114131162645794,3000,PRUNED
67,0.003856564173474908,2026-05-17 19:28:26.236919,2026-05-17 19:28:26.424950,0 days 00:00:00.188031,0.8955124445193451,0.9924849974066174,112,1.1764082655704517,0.035004577109584795,0.000942172663103593,4,0.4129938260209377,4000,PRUNED
68,0.004961879923939705,2026-05-17 19:28:26.430942,2026-05-17 19:28:27.370464,0 days 00:00:00.939522,0.8604557494183249,0.9900097985097949,48,3.8920698838914713,0.5192328709967925,0.008342009336551374,3,0.4930671965972367,2000,PRUNED
69,0.006330694537609816,2026-05-17 19:28:27.378109,2026-05-17 19:28:27.591602,0 days 00:00:00.213493,0.886081726181247,0.9963199467766758,96,1.6121783278310164,1.0043769220208814,0.0001874769387347668,5,0.3316650521310928,3000,PRUNED
