trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
0,complete,0.0026152071077376604,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000,0.9712646604084909,0.9959510386162578
1,complete,0.002610713243484497,96,2,7.579479953348009,46.22589001020831,0.00026587543983272726,0.4090949803242604,1000,0.8925939140143353,0.9951950886731592
2,complete,0.0025805479381233454,64,3,0.2801635158716261,1.9010245319870354,0.0003839629299804173,0.5198171059762151,3000,0.9599246345950219,0.9919767704433677
3,complete,0.002817704575136304,80,4,0.0015339162591163618,16.40928673064792,0.00021930485556643703,0.3390309557911677,5000,0.9851884846304383,0.998003133746353
4,complete,0.0026241405867040157,48,2,0.5456725485601477,7.591104805282694,0.00017541893487450815,0.5971061460667622,1000,0.9773048562910295,0.9925619218178402
7,complete,0.002587301656603813,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000,0.9581142677015321,0.9919672852471884
13,complete,0.002602127380669117,32,5,5.213557994267063,99.7068227503645,0.00871236310240285,0.598137997847344,4000,0.9526765855538636,0.9929761452286874
17,complete,0.002581915119662881,112,5,0.24379041467862048,4.449267375059675,0.004362482783055189,0.5281096358316664,4000,0.9612988996927061,0.9966452459767705
20,complete,0.0026023148093372583,112,5,0.3122465181237046,4.13022317151002,0.0003785381471378286,0.8031522400235495,3000,0.8516269346278574,0.9998390435719922
27,complete,0.0025972151197493076,80,3,0.3369427056859662,2.00227614677457,0.003951252273446936,0.38326862254115346,3000,0.9248026086397614,0.9960339853550542
31,complete,0.0025868958327919245,80,3,0.45065234090140044,2.1470454395189913,0.003778988710731948,0.3106279829118741,3000,0.907102945427105,0.9959648536112908
32,complete,0.0025796936824917793,64,3,0.5403245191841263,2.108606049121433,0.0028633065984043716,0.3054243462282571,3000,0.8910458610296235,0.9946361768492759
35,complete,0.002585741225630045,96,4,0.4409472288385537,3.13810609138153,0.0016168673704232046,0.30907460227211464,2000,0.8745522302586117,0.9957729233667533
41,complete,0.0025802236050367355,80,3,0.3901901716631332,1.3669203228047533,0.002720988007616506,0.30293290768896197,3000,0.896794889294049,0.9958565748404195
45,complete,0.002595239784568548,64,4,0.222644047263083,1.293472954041213,0.004893644077003058,0.6203577729768562,4000,0.8628678704031721,0.9934018325283445
52,complete,0.0026040375232696533,80,3,0.2172928239313447,1.4946059668915224,0.0026403236001084304,0.32313778922661335,3000,0.9128090307900324,0.9962457427336197
60,complete,0.0026043253019452095,128,5,0.1662035556652346,3.3821701439529828,0.0058324952001685,0.7160656800843503,3000,0.9209939128234685,0.9996937055672481
72,complete,0.002589917741715908,64,4,0.09917568335100396,1.256248366463324,0.00476652696140117,0.6275096147227266,5000,0.8562340077304904,0.9928479088176845
76,complete,0.00256076967343688,48,5,0.3906223522989708,1.2884822564493892,0.0015611406558087887,0.6330807150815704,5000,0.8596481154698667,0.9960131856977361
86,complete,0.002568216295912862,96,4,0.5543796832413014,2.4209781750889863,0.00156273285340275,0.7549004017303077,5000,0.8576232170720036,0.9923429182898149
95,complete,0.002585188951343298,80,5,0.1868170117848599,1.7250716182385024,0.002095110209360718,0.8994641761481803,5000,0.8505756645602921,0.9922135667245437
113,complete,0.002565986942499876,64,3,0.31322931313852276,1.119286441421259,0.003823032907520017,0.6583743046587326,3000,0.8589030909385719,0.9933195323426086
114,complete,0.0026000519283115864,64,3,0.28686200573416015,1.1083751940605813,0.00254846524188386,0.6615331634593812,3000,0.8577338536394971,0.9946095924673777
122,complete,0.002580105559900403,64,3,0.13347502419984403,1.1022783952992283,0.004973829915736014,0.5929263713649757,5000,0.9081050018856014,0.9931870769130691
123,complete,0.0025798457209020853,64,3,0.11831232701817558,1.0818798839243664,0.00520201376175221,0.550239892482439,5000,0.9146166240833872,0.9929048972254757
124,complete,0.002580164698883891,64,3,0.1283633847876816,1.0316384330801882,0.007738381976028741,0.5538784958028825,5000,0.908801373844065,0.9925874018226742
125,complete,0.002562256995588541,64,3,0.11960827840928397,1.095674895219992,0.008289531036947346,0.5459326396605898,5000,0.9128185664285297,0.9962053543839345
127,complete,0.002586826216429472,64,3,0.11817677263638626,1.010663154998873,0.006264684530343415,0.5299357201085065,5000,0.9239305265483772,0.9932593651967715
131,complete,0.0025840476155281067,64,3,0.11671090739118344,1.0081224992860656,0.006643082263987786,0.538198322630412,5000,0.9195555346055156,0.9932126489764489
141,complete,0.0025771954096853733,64,3,0.11562632090710016,1.2075288798762949,0.006217255927744029,0.5223968867079756,5000,0.9220751193964054,0.9935543956417711
144,complete,0.0025871682446449995,64,3,0.12530713754001527,1.5451361688669525,0.006168873236785312,0.6039888983589679,5000,0.9167934485721438,0.9929751917782579
145,complete,0.0025735776871442795,64,3,0.1900101308836707,1.1585082566281455,0.001363144979495318,0.5692458707796844,5000,0.9323996137931002,0.9937542658667549
166,complete,0.002574276179075241,64,3,0.17474911538907148,1.1502807966328243,0.0013903761172937323,0.6029721116392509,3000,0.9148105226469876,0.9935415117069836
174,complete,0.002604481764137745,64,3,0.10803093426715801,1.00069587467839,0.00540004557690115,0.6169749493553748,5000,0.8725511668271747,0.9929339100021117
183,complete,0.002601382089778781,80,3,0.5708419550192715,2.5471568400961404,0.004804245598893679,0.327956060043358,3000,0.8961571381394995,0.9964297953528553
