number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,,2026-05-17 18:50:27.927014,2026-05-17 18:50:33.673671,0 days 00:00:05.746657,0.9712646604084909,0.9959510386162578,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,FAIL
1,0.007937130518257618,2026-05-17 19:05:30.073045,2026-05-17 19:05:46.648921,0 days 00:00:16.575876,0.9712646604084909,0.9959510386162578,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,COMPLETE
2,0.007180074695497751,2026-05-17 19:05:46.661212,2026-05-17 19:05:53.540446,0 days 00:00:06.879234,0.8925939140143353,0.9951950886731592,96,46.22589001020831,7.579479953348009,0.00026587543983272726,2,0.4090949803242604,1000,COMPLETE
3,0.004706687293946743,2026-05-17 19:05:53.551429,2026-05-17 19:06:02.007827,0 days 00:00:08.456398,0.9599246345950219,0.9919767704433677,64,1.9010245319870354,0.2801635158716261,0.0003839629299804173,3,0.5198171059762151,3000,COMPLETE
4,0.012567965313792229,2026-05-17 19:06:02.017879,2026-05-17 19:06:11.648796,0 days 00:00:09.630917,0.9851884846304383,0.998003133746353,80,16.40928673064792,0.0015339162591163618,0.00021930485556643703,4,0.3390309557911677,5000,COMPLETE
5,0.009326125495135784,2026-05-17 19:06:11.656182,2026-05-17 19:06:18.491223,0 days 00:00:06.835041,0.9773048562910295,0.9925619218178402,48,7.591104805282694,0.5456725485601477,0.00017541893487450815,2,0.5971061460667622,1000,COMPLETE
6,0.23198530077934265,2026-05-17 19:06:18.500829,2026-05-17 19:06:18.658012,0 days 00:00:00.157183,0.9815298518189864,0.9988587907692338,96,12.399967836846093,0.12030178871154672,0.00023426581058204064,3,0.8817507766587351,4000,PRUNED
7,0.20089827477931976,2026-05-17 19:06:18.665470,2026-05-17 19:06:18.897355,0 days 00:00:00.231885,0.8879888644483455,0.9982045013406041,80,2.4658447214487373,0.002259279742015696,0.00012315571723666037,6,0.49519819845795865,2000,PRUNED
8,0.0024471068754792213,2026-05-17 19:06:18.903343,2026-05-17 19:06:28.703772,0 days 00:00:09.800429,0.9581142677015321,0.9919672852471884,48,1.9135880487692298,0.14817820606039092,0.0040215545266902904,3,0.3447303862078625,5000,COMPLETE
9,0.006213727407157421,2026-05-17 19:06:28.715009,2026-05-17 19:06:43.082705,0 days 00:00:14.367696,0.8662216683335181,0.9985447239161683,16,28.70875348195468,0.6720930050156113,0.0034877126245459306,6,0.3444267910404542,2000,COMPLETE
10,0.1306813657283783,2026-05-17 19:06:43.092915,2026-05-17 19:06:43.250050,0 days 00:00:00.157135,0.9742097839606857,0.9946749277591033,80,4.187594718900626,0.0017956984225677636,0.0004470608546778491,3,0.7377637070028384,4000,PRUNED
11,0.0027706818655133247,2026-05-17 19:06:43.257588,2026-05-17 19:06:54.135769,0 days 00:00:10.878181,0.9373716938041312,0.9903940161001624,128,1.0862348973937128,0.0184157984854315,0.009165193790139851,4,0.7141482441414871,5000,COMPLETE
12,0.00256489310413599,2026-05-17 19:06:54.143814,2026-05-17 19:07:05.700172,0 days 00:00:11.556358,0.9362696435248066,0.9900462683499575,128,1.1184835394742487,0.014394919736313376,0.009582173571380463,4,0.7216195396547992,5000,COMPLETE
13,0.0024474128149449825,2026-05-17 19:07:05.708019,2026-05-17 19:07:18.025904,0 days 00:00:12.317885,0.9317064872172732,0.9900307612751963,128,1.0337366575206814,0.019982138990310136,0.00334413449395608,5,0.7306475890619939,5000,COMPLETE
14,0.34061819314956665,2026-05-17 19:07:18.036644,2026-05-17 19:07:18.255864,0 days 00:00:00.219220,0.9195919551055193,0.9922173398864563,32,99.7068227503645,0.02468559550742139,0.0024501223002972596,5,0.8324793616026946,4000,PRUNED
15,0.002683735452592373,2026-05-17 19:07:18.265047,2026-05-17 19:07:31.465149,0 days 00:00:13.200102,0.9464818152178807,0.9933813975398283,112,4.227026201782585,0.05784119651345543,0.0018288104180760958,5,0.6186744182108763,5000,COMPLETE
16,0.002608030568808317,2026-05-17 19:07:31.472905,2026-05-17 19:07:44.963018,0 days 00:00:13.490113,0.9180128159920778,0.9910338884239599,48,2.035093334318354,0.0070558521234916315,0.0045277804208573805,5,0.6310065091923333,4000,COMPLETE
17,0.07707998156547546,2026-05-17 19:07:44.970920,2026-05-17 19:07:45.157775,0 days 00:00:00.186855,0.904427687270094,0.9936646461354355,16,4.316235758734449,3.711944089797267,0.000918994136244505,3,0.8007185498039272,3000,PRUNED
18,0.07562709599733353,2026-05-17 19:07:45.163896,2026-05-17 19:07:45.348247,0 days 00:00:00.184351,0.9543189648244508,0.9913012946828583,64,1.6393776312058987,0.09242990604441949,0.0011320323616578018,4,0.5051832185612111,3000,PRUNED
19,0.0026643723249435425,2026-05-17 19:07:45.354602,2026-05-17 19:07:56.224007,0 days 00:00:10.869405,0.9281558571452262,0.991354798673234,112,7.336538861985153,0.0054103009460875606,0.005533207515192675,5,0.662822044362527,5000,COMPLETE
20,0.24031254649162292,2026-05-17 19:07:56.231881,2026-05-17 19:07:56.403054,0 days 00:00:00.171173,0.9608894452325206,0.9934024667729898,32,3.1459053272411084,0.04016658883118531,0.0015632368259953138,2,0.5677932050700218,4000,PRUNED
21,0.0024621596094220877,2026-05-17 19:07:56.409309,2026-05-17 19:08:07.523831,0 days 00:00:11.114522,0.8516269346278574,0.997095518856369,96,1.0095900396178161,0.21623732578902424,0.0026663923121311556,4,0.4440470957242424,5000,COMPLETE
22,0.007309111766517162,2026-05-17 19:08:07.531868,2026-05-17 19:08:09.843243,0 days 00:00:02.311375,0.8524301764908077,0.9968219339242721,112,1.1512761962017253,0.2444436163607056,0.0029943593374049202,4,0.4394562791344005,5000,PRUNED
23,0.03733452782034874,2026-05-17 19:08:09.850401,2026-05-17 19:08:10.285978,0 days 00:00:00.435577,0.8723556649154659,0.9996067600685279,96,1.527133816290098,1.8391128854697163,0.006447466959547119,5,0.31388520577421875,5000,PRUNED
24,0.031563349068164825,2026-05-17 19:08:10.293614,2026-05-17 19:08:10.609268,0 days 00:00:00.315654,0.9024808796250131,0.9969947563618237,128,1.0879887286531924,0.1566696189834112,0.002276886474326648,3,0.4291634903720915,4000,PRUNED
25,0.0027210628613829613,2026-05-17 19:08:10.617290,2026-05-17 19:08:18.303190,0 days 00:00:07.685900,0.9470759669478774,0.9969976459942287,112,2.7133700978020188,0.056254450558678164,0.0036729625786975717,3,0.35489751976862444,5000,COMPLETE
26,0.14156989753246307,2026-05-17 19:08:18.311031,2026-05-17 19:08:18.504208,0 days 00:00:00.193177,0.9087383139081008,0.99455140187396,64,1.5447902190799716,0.009546009015022533,0.0007594303691532663,4,0.47261119341927127,4000,PRUNED
27,0.016788754612207413,2026-05-17 19:08:18.511316,2026-05-17 19:08:19.632002,0 days 00:00:01.120686,0.9306163476673058,0.9906863434746749,96,6.611289862622812,0.3166051826059705,0.0013404818559542655,5,0.5499758464166415,5000,PRUNED
28,0.032994385808706284,2026-05-17 19:08:19.640717,2026-05-17 19:08:19.998176,0 days 00:00:00.357459,0.8525976485790959,0.9959316284015571,32,3.420053611497116,1.5153482527769302,0.006320589599641906,4,0.3785563825438046,4000,PRUNED
29,0.02018721029162407,2026-05-17 19:08:20.006105,2026-05-17 19:08:20.591772,0 days 00:00:00.585667,0.8822704571469893,0.9929292173538139,128,2.1963089460524814,0.027021296555458343,0.0022987191393587523,3,0.45883031988280754,5000,PRUNED
30,0.041947994381189346,2026-05-17 19:08:20.598711,2026-05-17 19:08:21.104559,0 days 00:00:00.505848,0.9675773838654259,0.9959423875310387,48,1.5002702060545536,0.0917179151194327,0.004384343553208293,6,0.30147782718929517,2000,PRUNED
31,0.047896988689899445,2026-05-17 19:08:21.111351,2026-05-17 19:08:21.546879,0 days 00:00:00.435528,0.9128241528282907,0.9915943364084321,80,1.0482884461566104,1.1480153101089305,0.000576263234644408,5,0.3880836381942947,3000,PRUNED
32,0.002548253396525979,2026-05-17 19:08:21.553076,2026-05-17 19:08:32.902939,0 days 00:00:11.349863,0.9393049410259616,0.9902759791914844,128,1.3531604899125762,0.04213189352257196,0.009436270269413134,4,0.7225514465600401,5000,COMPLETE
33,0.0058758980594575405,2026-05-17 19:08:32.910827,2026-05-17 19:08:43.222554,0 days 00:00:10.311727,0.9460814511521953,0.9900214550219893,112,1.3888717523808647,0.0036050983023255185,0.006959570638054231,4,0.7902076160730599,5000,PRUNED
34,0.03397500142455101,2026-05-17 19:08:43.232639,2026-05-17 19:08:43.486549,0 days 00:00:00.253910,0.9302442655700628,0.9906483263825029,128,2.237091961520714,0.17118690547015772,0.005183717025857651,2,0.6627697972352005,5000,PRUNED
35,0.027236949652433395,2026-05-17 19:08:43.492959,2026-05-17 19:08:43.831130,0 days 00:00:00.338171,0.9546991276727002,0.9919192722643082,112,1.9368951662104432,0.04035213287910049,0.0031729850539798372,4,0.7630045763369131,5000,PRUNED
36,0.029456166550517082,2026-05-17 19:08:43.837119,2026-05-17 19:08:44.135771,0 days 00:00:00.298652,0.8963379779909042,0.9908783715078818,96,21.11649942398558,0.4032506003541718,0.008235764532635095,3,0.6845525887664353,4000,PRUNED
37,0.10462237894535065,2026-05-17 19:08:44.142262,2026-05-17 19:08:44.287722,0 days 00:00:00.145460,0.9660310377990381,0.9940841778114452,128,1.396345294070045,0.011816272615088618,0.0018970538177132774,2,0.8343761757996326,5000,PRUNED
38,0.1218831017613411,2026-05-17 19:08:44.294057,2026-05-17 19:08:44.503787,0 days 00:00:00.209730,0.9874595688404935,0.9952217471913168,48,5.619948169716983,0.07428779131507297,0.00283647491479262,5,0.5516115854268305,1000,PRUNED
39,0.027273906394839287,2026-05-17 19:08:44.510204,2026-05-17 19:08:44.935360,0 days 00:00:00.425156,0.9380025851041544,0.9924937925994163,64,10.461039749314919,0.17892455257672038,0.004330881337373194,6,0.4080911764956916,4000,PRUNED
40,0.0025261526461690664,2026-05-17 19:08:44.942845,2026-05-17 19:08:55.028181,0 days 00:00:10.085336,0.9248280969841748,0.991758634269374,80,2.899701600889031,0.03597352300958015,0.0076276506189229725,4,0.8678615070550012,5000,COMPLETE
41,0.06570078432559967,2026-05-17 19:08:55.036646,2026-05-17 19:08:55.215034,0 days 00:00:00.178388,0.9235289837655288,0.9974205211138835,80,3.3768250091736367,9.767514128387644,0.005570544881982487,3,0.8331691047307166,4000,PRUNED
42,0.002429984975606203,2026-05-17 19:08:55.222689,2026-05-17 19:09:04.762410,0 days 00:00:09.539721,0.9426657498509873,0.9918149210983125,80,2.6874213514798755,0.026323562918538674,0.007318530457119655,4,0.8533762526266918,5000,COMPLETE
43,0.0025031273253262043,2026-05-17 19:09:04.773031,2026-05-17 19:09:15.066274,0 days 00:00:10.293243,0.9535302296674527,0.992804991928435,80,2.706088192530385,0.023282160892472068,0.006804143666898922,4,0.8847997838427841,5000,COMPLETE
44,0.0458378829061985,2026-05-17 19:09:15.075702,2026-05-17 19:09:15.261927,0 days 00:00:00.186225,0.9550252713593043,0.9923697986757858,80,1.8542095985109468,0.0010892628980969177,0.0036953978168906302,4,0.8736180971924865,5000,PRUNED
45,0.11008133739233017,2026-05-17 19:09:15.269208,2026-05-17 19:09:15.434993,0 days 00:00:00.165785,0.9732155205520551,0.9929901653708958,64,5.231265143036174,0.017408191894457015,0.004661181332813091,3,0.7993841796278367,5000,PRUNED
46,0.04515238478779793,2026-05-17 19:09:15.441264,2026-05-17 19:09:15.631915,0 days 00:00:00.190651,0.9448178594608603,0.9928858656490055,96,63.094780072211556,0.4476575906199111,0.007019300239023622,4,0.8556353663573266,5000,PRUNED
47,0.0281047485768795,2026-05-17 19:09:15.638010,2026-05-17 19:09:16.016637,0 days 00:00:00.378627,0.9792545851960774,0.9941965997336517,80,2.343773600009996,0.023989283409172533,0.003731281353297303,5,0.8920055192405815,5000,PRUNED
48,0.09103257209062576,2026-05-17 19:09:16.023432,2026-05-17 19:09:16.213077,0 days 00:00:00.189645,0.9602835982585668,0.9911578183084482,48,1.8738163210264578,0.12582600144071215,0.00016418479631553413,4,0.7673124677092715,4000,PRUNED
49,0.10249891877174377,2026-05-17 19:09:16.219257,2026-05-17 19:09:16.385217,0 days 00:00:00.165960,0.9529178682384645,0.9954252845837203,64,1.2394510606350428,0.0033551293526964,0.002709818303323244,3,0.7635068908528093,5000,PRUNED
50,0.15439094603061676,2026-05-17 19:09:16.391299,2026-05-17 19:09:16.606130,0 days 00:00:00.214831,0.9418162722798554,0.9920883220658203,80,14.746501183981591,0.010683195413989238,0.0018838366897783343,5,0.898539027505666,5000,PRUNED
51,0.17458245158195496,2026-05-17 19:09:16.612305,2026-05-17 19:09:16.805272,0 days 00:00:00.192967,0.9323681804862488,0.9916301086908987,96,2.688746603496746,0.006620732674289612,0.00036537288730985193,4,0.8502386389886599,4000,PRUNED
52,0.04282919690012932,2026-05-17 19:09:16.811341,2026-05-17 19:09:17.006946,0 days 00:00:00.195605,0.924419875086592,0.9916567438197761,80,2.85428841475418,0.024329593739982194,0.008692057719389133,4,0.8698728718983632,5000,PRUNED
