trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
1,complete,0.007937130518257618,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000,0.9712646604084909,0.9959510386162578
2,complete,0.007180074695497751,96,2,7.579479953348009,46.22589001020831,0.00026587543983272726,0.4090949803242604,1000,0.8925939140143353,0.9951950886731592
3,complete,0.004706687293946743,64,3,0.2801635158716261,1.9010245319870354,0.0003839629299804173,0.5198171059762151,3000,0.9599246345950219,0.9919767704433677
4,complete,0.012567965313792229,80,4,0.0015339162591163618,16.40928673064792,0.00021930485556643703,0.3390309557911677,5000,0.9851884846304383,0.998003133746353
5,complete,0.009326125495135784,48,2,0.5456725485601477,7.591104805282694,0.00017541893487450815,0.5971061460667622,1000,0.9773048562910295,0.9925619218178402
8,complete,0.0024471068754792213,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000,0.9581142677015321,0.9919672852471884
9,complete,0.006213727407157421,16,6,0.6720930050156113,28.70875348195468,0.0034877126245459306,0.3444267910404542,2000,0.8662216683335181,0.9985447239161683
11,complete,0.0027706818655133247,128,4,0.0184157984854315,1.0862348973937128,0.009165193790139851,0.7141482441414871,5000,0.9373716938041312,0.9903940161001624
12,complete,0.00256489310413599,128,4,0.014394919736313376,1.1184835394742487,0.009582173571380463,0.7216195396547992,5000,0.9362696435248066,0.9900462683499575
13,complete,0.0024474128149449825,128,5,0.019982138990310136,1.0337366575206814,0.00334413449395608,0.7306475890619939,5000,0.9317064872172732,0.9900307612751963
15,complete,0.002683735452592373,112,5,0.05784119651345543,4.227026201782585,0.0018288104180760958,0.6186744182108763,5000,0.9464818152178807,0.9933813975398283
16,complete,0.002608030568808317,48,5,0.0070558521234916315,2.035093334318354,0.0045277804208573805,0.6310065091923333,4000,0.9180128159920778,0.9910338884239599
19,complete,0.0026643723249435425,112,5,0.0054103009460875606,7.336538861985153,0.005533207515192675,0.662822044362527,5000,0.9281558571452262,0.991354798673234
21,complete,0.0024621596094220877,96,4,0.21623732578902424,1.0095900396178161,0.0026663923121311556,0.4440470957242424,5000,0.8516269346278574,0.997095518856369
