number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,4.5873606723034754e-05,2026-05-19 00:31:52.241123,2026-05-19 00:31:58.198307,0 days 00:00:05.957184,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,COMPLETE
1,1.0427471352159046e-05,2026-05-19 00:31:58.210439,2026-05-19 00:32:03.054433,0 days 00:00:04.843994,112,1.0994335574766196,0.679657809075816,0.008706020878304856,5,0.7994655844802532,2000,COMPLETE
2,4.377520235721022e-05,2026-05-19 00:32:03.067447,2026-05-19 00:32:12.348680,0 days 00:00:09.281233,32,11.207606211860567,0.016480446427978974,0.0007309539835912913,2,0.47473748411882516,4000,COMPLETE
3,2.01622060558293e-05,2026-05-19 00:32:12.358113,2026-05-19 00:32:17.381440,0 days 00:00:05.023327,32,8.168455894760163,0.029204338471814112,0.0037183641805732083,3,0.41980426929501585,3000,COMPLETE
4,7.970280421432108e-05,2026-05-19 00:32:17.389423,2026-05-19 00:32:21.904855,0 days 00:00:04.515432,80,2.1930485556643684,0.26926469100861794,0.00013492834268013249,2,0.8693313223520001,5000,COMPLETE
5,0.08186183124780655,2026-05-19 00:32:21.913259,2026-05-19 00:32:22.077943,0 days 00:00:00.164684,112,23.359635026261596,0.002458603276328005,0.0007591104805282694,3,0.3732229409068673,3000,PRUNED
6,0.15550988912582397,2026-05-19 00:32:22.085454,2026-05-19 00:32:22.337318,0 days 00:00:00.251864,16,21.137059440645725,0.010842262717330166,0.0004201672054372534,6,0.6120408127066865,3000,PRUNED
7,0.00010517054761294276,2026-05-19 00:32:22.344590,2026-05-19 00:32:25.769517,0 days 00:00:03.424927,32,75.68292060167619,1.2604664585649468,0.006161049539380964,6,0.6587399872866511,5000,PRUNED
8,0.13186325132846832,2026-05-19 00:32:25.776354,2026-05-19 00:32:25.920866,0 days 00:00:00.144512,16,4.473636174621264,0.0015167330688076208,0.0005989003672254305,2,0.4628094190643376,5000,PRUNED
9,2.248569580842741e-05,2026-05-19 00:32:25.927292,2026-05-19 00:32:29.565945,0 days 00:00:03.638653,48,1.9135880487692298,0.14817820606039092,0.0040215545266902904,3,0.3447303862078625,5000,COMPLETE
10,0.04671500250697136,2026-05-19 00:32:29.576196,2026-05-19 00:32:29.794492,0 days 00:00:00.218296,128,1.0862348973937128,7.553503645583189,0.0020124870829750945,5,0.8445988771695108,1000,PRUNED
11,0.0001840990298660472,2026-05-19 00:32:29.802478,2026-05-19 00:32:31.776087,0 days 00:00:01.973609,96,5.614406187645643,0.03299263281612611,0.007791470666172783,4,0.7165828206726954,2000,PRUNED
12,0.023846644908189774,2026-05-19 00:32:31.783907,2026-05-19 00:32:31.991368,0 days 00:00:00.207461,80,50.45980465205415,0.06323499520723179,0.0025997524114633797,4,0.7584476214151429,2000,PRUNED
13,4.133775655645877e-05,2026-05-19 00:32:31.997844,2026-05-19 00:32:35.978333,0 days 00:00:03.980489,128,4.957547237088645,0.6719370370554077,0.009481614884546465,5,0.5014692429438355,2000,COMPLETE
14,0.04865691438317299,2026-05-19 00:32:35.987148,2026-05-19 00:32:36.156663,0 days 00:00:00.169515,64,1.0497049531791511,7.967004230244099,0.0017311542042698074,3,0.5689023635135214,4000,PRUNED
15,0.0001937922352226451,2026-05-19 00:32:36.163181,2026-05-19 00:32:37.315890,0 days 00:00:01.152709,96,2.398016259789459,0.0058427702892325075,0.0039443310923374785,4,0.7684014107661562,3000,PRUNED
16,6.165888771647587e-05,2026-05-19 00:32:37.325009,2026-05-19 00:32:40.246381,0 days 00:00:02.921372,64,32.84333378375951,1.9137667848854465,0.004894057592170794,5,0.30318989941462504,2000,PRUNED
17,0.0003555551520548761,2026-05-19 00:32:40.253850,2026-05-19 00:32:41.474060,0 days 00:00:01.220210,112,9.1743040013787,0.24868362348057765,0.0014622504526962926,4,0.5658843807284422,4000,PRUNED
18,3.7480549508472905e-05,2026-05-19 00:32:41.480656,2026-05-19 00:32:45.302816,0 days 00:00:03.822160,48,3.590730683942248,0.08152728131129283,0.002941856699291304,3,0.8028443402811506,1000,COMPLETE
19,5.12219121446833e-05,2026-05-19 00:32:45.311503,2026-05-19 00:32:48.081538,0 days 00:00:02.770035,96,7.21912832410066,2.691351544793156,0.0011982448134112169,5,0.6857084583543333,2000,PRUNED
20,3.608047336456366e-05,2026-05-19 00:32:48.088716,2026-05-19 00:32:51.734205,0 days 00:00:03.645489,64,1.4551434647715578,0.3819990699050781,0.006535836560620915,4,0.5140223818248426,3000,COMPLETE
21,0.008342582732439041,2026-05-19 00:32:51.742853,2026-05-19 00:32:51.918723,0 days 00:00:00.175870,32,2.511081129051861,0.15143917440559612,0.0038644387988336624,3,0.30735355067611037,4000,PRUNED
22,4.2102790757780895e-05,2026-05-19 00:32:51.925799,2026-05-19 00:32:55.419963,0 days 00:00:03.494164,48,1.8043456627990686,0.051223328680669505,0.009924546987960532,3,0.38580956102708863,3000,COMPLETE
