trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
0,complete,4.5873606723034754e-05,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000
1,complete,1.0427471352159046e-05,112,5,0.679657809075816,1.0994335574766196,0.008706020878304856,0.7994655844802532,2000
2,complete,4.377520235721022e-05,32,2,0.016480446427978974,11.207606211860567,0.0007309539835912913,0.47473748411882516,4000
3,complete,2.01622060558293e-05,32,3,0.029204338471814112,8.168455894760163,0.0037183641805732083,0.41980426929501585,3000
4,complete,7.970280421432108e-05,80,2,0.26926469100861794,2.1930485556643684,0.00013492834268013249,0.8693313223520001,5000
9,complete,2.248569580842741e-05,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000
13,complete,4.133775655645877e-05,128,5,0.6719370370554077,4.957547237088645,0.009481614884546465,0.5014692429438355,2000
18,complete,3.7480549508472905e-05,48,3,0.08152728131129283,3.590730683942248,0.002941856699291304,0.8028443402811506,1000
20,complete,3.608047336456366e-05,64,4,0.3819990699050781,1.4551434647715578,0.006535836560620915,0.5140223818248426,3000
22,complete,4.2102790757780895e-05,48,3,0.051223328680669505,1.8043456627990686,0.009924546987960532,0.38580956102708863,3000
28,complete,1.1983622243860736e-05,48,2,0.12907456676817416,1.8045227061384181,0.00703070327536018,0.629245839345924,4000
31,complete,2.0040228264406323e-05,48,3,0.12965471521992442,1.7907929613796831,0.004422801680739028,0.4339089382220102,5000
32,complete,1.2293999134271871e-05,48,2,0.10017513906421632,1.7418713132529744,0.007351677769373115,0.4482570249311303,4000
33,complete,1.0616597137413919e-05,48,2,0.10456280462252597,1.5535517336264937,0.007938830815443679,0.5211504309787146,4000
42,complete,1.6163168766070157e-05,32,3,0.3595683086881991,1.7603721854396042,0.007187124388431463,0.4902141025492326,5000
74,complete,1.7730697436491027e-05,128,2,1.8889037465869791,1.9590790807890366,0.009040410447602171,0.690173123370255,5000
75,complete,1.7444828699808568e-05,128,2,1.6265832169406027,2.0544108635960674,0.009155027274159568,0.6759007697054317,5000
76,complete,1.794309719116427e-05,128,2,1.7689517379460575,2.2421681596299994,0.009094119244862059,0.7078585157580604,5000
77,complete,1.7737520465743728e-05,128,2,1.7879898451988285,2.0230448663136067,0.009090557546143607,0.6937744999810559,5000
90,complete,1.3750409380008932e-05,128,2,0.5606255495887809,1.4920453247009278,0.009951104774270735,0.7358391227137557,5000
93,complete,1.4825975085841492e-05,128,2,1.6188873486377342,1.6067608223536505,0.009696710579011353,0.7308252867976862,5000
99,complete,1.7175118045997806e-05,128,5,0.8672591837859137,2.7281813042390404,0.005430623867000044,0.6773295448676594,4000
105,complete,2.320938256161753e-05,128,5,0.45181529205950444,2.07691300509035,0.005144262724703465,0.6720194778621591,4000
111,complete,1.7960392142413184e-05,128,2,1.8786687851226824,2.2749364052445964,0.009092250829679668,0.7015682947342059,5000
112,complete,1.7115984519477934e-05,128,2,1.7256596037943386,1.8565901437236927,0.009190573031654386,0.6780129642528957,5000
113,complete,1.3352992937143426e-05,128,2,2.113061835459501,1.849632283920488,0.009977612999952108,0.6511012635920782,5000
122,complete,1.7146920072264038e-05,128,2,2.0764930824364463,2.1639156605466106,0.009222217482531797,0.6974329534037778,5000
131,complete,1.7614482203498483e-05,128,2,1.6818211502101752,1.9717524315698804,0.009102241283355196,0.6950970791025305,5000
153,complete,1.4043275768926833e-05,128,2,1.8964197802136216,1.8970890515743757,0.00988981335989306,0.7456206639731765,5000
162,complete,1.7549795302329585e-05,128,2,1.6076083441447442,1.8693330216231874,0.009097284924531135,0.7301088872081103,5000
181,complete,1.7160111383418553e-05,128,2,1.8751952524956856,2.3230442273814327,0.009250272907704242,0.6964131089829894,5000
197,complete,1.3149362530384678e-05,128,2,1.7863480141825079,1.592227058744399,0.00996095166907571,0.5276077818791646,5000
202,complete,1.6568752471357584e-05,128,2,2.122203113633229,1.8156208072979445,0.00932729694864707,0.7068094076228741,5000
203,complete,1.5814268408576027e-05,128,2,2.211784386585954,1.7997320554092415,0.00954031645360812,0.5815673173310144,5000
216,complete,1.6357287677237764e-05,128,2,1.471640451925102,1.706263197380334,0.009330374056444614,0.48843227162094643,4000
221,complete,1.6801644960651174e-05,128,2,1.7844897499259778,2.1260758807131968,0.009333465382446995,0.7111231780265093,4000
224,complete,1.389681074215332e-05,128,2,1.7113462199083302,1.9188727805791863,0.009942100765739094,0.6820475221191425,4000
232,complete,1.7186637705890462e-05,128,2,2.2527401356079766,2.348730666914075,0.009243581241537568,0.6770575644896549,4000
233,complete,1.7198392015416175e-05,128,2,2.4044516370327433,2.348104158746273,0.009232658443268617,0.6796553746601818,4000
241,complete,1.6976304323179647e-05,128,2,2.0489871062445757,1.946337305615796,0.009224494858986892,0.6911305192475372,4000
248,complete,1.705536305962596e-05,128,2,1.7657758157430503,1.773161683819198,0.00919112507092101,0.845693747593088,4000
278,complete,1.671741483733058e-05,128,2,2.1545596800838815,1.8705679046040622,0.009301626978660424,0.6934523963305355,4000
290,complete,1.6565638361498713e-05,128,2,1.4558070465702944,1.745377661337409,0.009253001406516234,0.6416601689439655,4000
305,complete,1.6622087059658952e-05,128,2,1.5488415474981945,1.7847935731055369,0.009269503859342875,0.49477845997512443,5000
347,complete,1.654876359680202e-05,128,2,1.4260061559679602,1.666237475658406,0.009223472277452356,0.5246189706436983,5000
412,complete,1.6141975720529445e-05,128,2,1.8425249933754766,1.554070443023111,0.00937055807945783,0.6351934587359451,4000
558,complete,1.665729723754339e-05,128,2,1.6611595739858676,1.6824073646573798,0.009235566860666946,0.5785436054600228,4000
636,complete,1.6866037185536698e-05,128,2,1.7899601825461506,1.9260199962271862,0.009232603825697573,0.6188876728334535,5000
793,complete,1.618096575839445e-05,128,2,1.7804170244351063,1.5270332313879489,0.009354650993666235,0.6021383055001782,5000
907,complete,1.621853698452469e-05,128,2,1.2214743161564763,1.3675925141115364,0.009209754187540536,0.8343244012692503,5000
922,complete,1.623303978703916e-05,128,2,1.4034582713245722,1.3439199231594023,0.009252697963328022,0.6636843156822011,5000
