number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,2.015528480114881e-05,2026-05-19 00:37:53.273073,2026-05-19 00:37:58.926874,0 days 00:00:05.653801,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,COMPLETE
1,6.806608780607348e-06,2026-05-19 00:37:58.938237,2026-05-19 00:38:03.284160,0 days 00:00:04.345923,112,1.0994335574766196,0.679657809075816,0.008706020878304856,5,0.7994655844802532,2000,COMPLETE
2,6.614869926124811e-05,2026-05-19 00:38:03.297650,2026-05-19 00:38:13.202976,0 days 00:00:09.905326,32,11.207606211860567,0.016480446427978974,0.0007309539835912913,2,0.47473748411882516,4000,COMPLETE
3,6.863522230560193e-06,2026-05-19 00:38:13.214252,2026-05-19 00:38:18.045664,0 days 00:00:04.831412,32,8.168455894760163,0.029204338471814112,0.0037183641805732083,3,0.41980426929501585,3000,COMPLETE
4,0.00012157449236838147,2026-05-19 00:38:18.055029,2026-05-19 00:38:20.705943,0 days 00:00:02.650914,80,2.1930485556643684,0.26926469100861794,0.00013492834268013249,2,0.8693313223520001,5000,COMPLETE
5,0.028529083356261253,2026-05-19 00:38:20.714630,2026-05-19 00:38:20.886459,0 days 00:00:00.171829,112,23.359635026261596,0.002458603276328005,0.0007591104805282694,3,0.3732229409068673,3000,PRUNED
6,0.10897613316774368,2026-05-19 00:38:20.893675,2026-05-19 00:38:21.139850,0 days 00:00:00.246175,16,21.137059440645725,0.010842262717330166,0.0004201672054372534,6,0.6120408127066865,3000,PRUNED
7,5.754719313699752e-05,2026-05-19 00:38:21.147064,2026-05-19 00:38:24.081597,0 days 00:00:02.934533,32,75.68292060167619,1.2604664585649468,0.006161049539380964,6,0.6587399872866511,5000,PRUNED
8,0.08684894442558289,2026-05-19 00:38:24.088509,2026-05-19 00:38:24.246161,0 days 00:00:00.157652,16,4.473636174621264,0.0015167330688076208,0.0005989003672254305,2,0.4628094190643376,5000,PRUNED
9,1.4329803889268078e-05,2026-05-19 00:38:24.253522,2026-05-19 00:38:27.431130,0 days 00:00:03.177608,48,1.9135880487692298,0.14817820606039092,0.0040215545266902904,3,0.3447303862078625,5000,COMPLETE
10,0.07114741951227188,2026-05-19 00:38:27.441513,2026-05-19 00:38:27.663274,0 days 00:00:00.221761,128,1.0862348973937128,7.553503645583189,0.0020124870829750945,5,0.8445988771695108,1000,PRUNED
11,0.00011906277359230444,2026-05-19 00:38:27.669818,2026-05-19 00:38:30.006692,0 days 00:00:02.336874,96,5.614406187645643,0.03299263281612611,0.007791470666172783,4,0.7165828206726954,2000,PRUNED
12,0.0019881650805473328,2026-05-19 00:38:30.014077,2026-05-19 00:38:30.372993,0 days 00:00:00.358916,80,50.45980465205415,0.06323499520723179,0.0025997524114633797,4,0.7584476214151429,2000,PRUNED
13,1.2874442290922161e-05,2026-05-19 00:38:30.380871,2026-05-19 00:38:34.424167,0 days 00:00:04.043296,128,4.957547237088645,0.6719370370554077,0.009481614884546465,5,0.5014692429438355,2000,COMPLETE
14,0.08708644658327103,2026-05-19 00:38:34.435608,2026-05-19 00:38:34.629430,0 days 00:00:00.193822,64,1.0497049531791511,7.967004230244099,0.0017311542042698074,3,0.5689023635135214,4000,PRUNED
15,0.00017759496404323727,2026-05-19 00:38:34.636316,2026-05-19 00:38:36.080573,0 days 00:00:01.444257,96,2.398016259789459,0.0058427702892325075,0.0039443310923374785,4,0.7684014107661562,3000,PRUNED
16,4.247328979545273e-05,2026-05-19 00:38:36.088276,2026-05-19 00:38:38.995057,0 days 00:00:02.906781,64,32.84333378375951,1.9137667848854465,0.004894057592170794,5,0.30318989941462504,2000,PRUNED
17,3.5927128919865936e-05,2026-05-19 00:38:39.002032,2026-05-19 00:38:41.397446,0 days 00:00:02.395414,112,9.1743040013787,0.24868362348057765,0.0014622504526962926,4,0.5658843807284422,4000,PRUNED
18,8.62219458213076e-05,2026-05-19 00:38:41.404111,2026-05-19 00:38:43.995600,0 days 00:00:02.591489,48,3.590730683942248,0.08152728131129283,0.002941856699291304,3,0.8028443402811506,1000,PRUNED
19,2.065005355689209e-05,2026-05-19 00:38:44.004896,2026-05-19 00:38:48.982639,0 days 00:00:04.977743,96,7.21912832410066,2.691351544793156,0.0011982448134112169,5,0.6857084583543333,2000,COMPLETE
20,1.5340925529017113e-05,2026-05-19 00:38:48.994271,2026-05-19 00:38:53.172992,0 days 00:00:04.178721,64,1.4551434647715578,0.3819990699050781,0.006535836560620915,4,0.5140223818248426,3000,COMPLETE
21,0.04581228271126747,2026-05-19 00:38:53.183483,2026-05-19 00:38:53.442447,0 days 00:00:00.258964,128,2.862413825283484,0.5044743292836573,0.009682092116003072,5,0.45226010583943466,2000,PRUNED
22,0.0822182148694992,2026-05-19 00:38:53.448980,2026-05-19 00:38:53.699664,0 days 00:00:00.250684,112,5.822462252146259,3.4379379740051537,0.009924546987960532,5,0.4197975682924892,2000,PRUNED
23,0.0006940856692381203,2026-05-19 00:38:53.706855,2026-05-19 00:38:54.200230,0 days 00:00:00.493375,128,12.581945256896484,0.033485624158980654,0.005122950469508641,5,0.5400455071735671,3000,PRUNED
24,1.6534628230147064e-05,2026-05-19 00:38:54.207335,2026-05-19 00:38:59.857395,0 days 00:00:05.650060,112,4.039010153449999,0.7040697178115143,0.002968835783743788,6,0.6239113708782622,1000,COMPLETE
