trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
0,complete,2.015528480114881e-05,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000
1,complete,6.806608780607348e-06,112,5,0.679657809075816,1.0994335574766196,0.008706020878304856,0.7994655844802532,2000
2,complete,6.614869926124811e-05,32,2,0.016480446427978974,11.207606211860567,0.0007309539835912913,0.47473748411882516,4000
3,complete,6.863522230560193e-06,32,3,0.029204338471814112,8.168455894760163,0.0037183641805732083,0.41980426929501585,3000
4,complete,0.00012157449236838147,80,2,0.26926469100861794,2.1930485556643684,0.00013492834268013249,0.8693313223520001,5000
9,complete,1.4329803889268078e-05,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000
13,complete,1.2874442290922161e-05,128,5,0.6719370370554077,4.957547237088645,0.009481614884546465,0.5014692429438355,2000
19,complete,2.065005355689209e-05,96,5,2.691351544793156,7.21912832410066,0.0011982448134112169,0.6857084583543333,2000
20,complete,1.5340925529017113e-05,64,4,0.3819990699050781,1.4551434647715578,0.006535836560620915,0.5140223818248426,3000
24,complete,1.6534628230147064e-05,112,6,0.7040697178115143,4.039010153449999,0.002968835783743788,0.6239113708782622,1000
27,complete,4.820772574021248e-06,32,4,0.20658845360482753,3.0049108705012264,0.009844740666241506,0.4400959692133456,4000
31,complete,1.0395410754426848e-05,48,6,0.9299352290403025,4.525253727455095,0.00897415672460068,0.5004176597664287,1000
44,complete,2.0582219804055057e-05,128,6,0.7050595029215977,5.1741505292779335,0.006828711713095137,0.40223654849889995,3000
52,complete,7.070475021464517e-06,32,3,0.5434294276144988,1.8304246357687528,0.006267048333923201,0.3407313068939389,5000
53,complete,7.288649157999316e-06,32,3,0.5305780435311711,2.5021852995498834,0.006652087917358626,0.38482917078445356,5000
62,complete,5.582417088589864e-06,32,4,0.5795435396108322,3.1524523409950573,0.008543929974390319,0.3164728566481389,4000
69,complete,1.6932728613028303e-05,48,4,1.7253543211042226,6.616420710972737,0.004167784873697936,0.7763832537462778,4000
71,complete,1.285453254240565e-05,32,5,0.3818970946647355,7.769068938651751,0.009050432045382702,0.5123888577673947,3000
74,complete,1.1442708455433603e-05,32,3,1.128678821190687,5.360100786476893,0.006082882864111241,0.4332010769926459,3000
81,complete,1.8466758774593472e-05,32,5,0.2825361477902313,7.561148703986047,0.00986944896623608,0.572439197113401,3000
82,complete,7.678855581616517e-06,32,4,0.45410973877778055,4.717860527140207,0.008457486602921737,0.4914824696997887,3000
94,complete,1.6175801647477783e-05,32,5,1.4871940398826027,9.52469909427349,0.008940940141186791,0.5004138578574965,3000
102,complete,8.07850210549077e-06,112,5,0.6084388032828759,2.7727823846165975,0.006850976135964567,0.5484541485984633,1000
103,complete,6.719576049363241e-06,112,5,0.5935198261900334,2.720106175371937,0.006810668321803473,0.5430692072250368,1000
128,complete,1.0141545317310374e-05,32,5,0.3004666192422653,5.5343969550386705,0.009388696943749974,0.38096887903081633,3000
161,complete,1.803611303330399e-05,32,5,1.5743626674508087,9.75520944255928,0.008825741017851295,0.5059142232833682,3000
168,complete,1.1249927410972305e-05,32,5,1.1350585287656356,5.122885402141504,0.009918336123098396,0.4915630983810589,3000
174,complete,7.2122707024391275e-06,32,5,0.9557603997758368,8.226886608644003,0.007667440682836305,0.4812958287855502,3000
176,complete,4.129986791667761e-06,32,5,0.7063976626444443,5.600947044460307,0.007416793559142938,0.4618352180615017,3000
181,complete,8.729175533517264e-06,32,5,0.4386776329964605,5.614302827182063,0.0061931097565503515,0.48749052492961653,4000
185,complete,1.3868630048818886e-05,32,5,0.9381429504093974,6.0658416431252835,0.007294368444219867,0.8648378448989754,4000
189,complete,1.3398444025369827e-05,32,5,0.9042074641560504,5.401566455497043,0.00900976518491025,0.8591786155819794,4000
191,complete,1.276635430258466e-05,32,5,0.7334056207429066,5.531645805307975,0.008471729537559073,0.8833159378045781,4000
192,complete,1.0056820428872015e-05,32,5,0.6483485884042093,4.420707760606308,0.008560494908061609,0.8271757064435696,4000
205,complete,3.7702893678215332e-06,32,5,0.5162891547191366,6.739312316959003,0.007450899901845942,0.8903335786902021,4000
207,complete,1.3369863154366612e-05,32,5,0.5763809768661485,7.740576458558362,0.0061545557793562375,0.8893626137127394,2000
220,complete,9.32717648538528e-06,32,5,0.7534922021836947,4.745929302805891,0.009943525339792342,0.4330729550901498,1000
224,complete,1.4451970855589025e-05,32,5,0.522517560451865,4.020623163384386,0.009908672335049665,0.44111667719144715,1000
232,complete,1.8103430193150416e-05,32,5,0.9914466104505102,5.477711683542209,0.008688608338522499,0.4810209388821938,4000
273,complete,1.1402594282117207e-05,32,5,0.7320027824441339,4.703652405264269,0.009931916060791048,0.366160799600371,4000
