number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,0.006092776544392109,2026-05-19 00:04:20.372928,2026-05-19 00:04:38.492695,0 days 00:00:18.119767,48,15.75132049977973,0.8471801418819978,0.0002051338263087451,6,0.3935967122017216,1000,COMPLETE
1,2.578827661636751e-05,2026-05-19 00:04:38.506742,2026-05-19 00:04:55.552423,0 days 00:00:17.045681,112,1.0994335574766196,0.679657809075816,0.008706020878304856,5,0.7994655844802532,2000,COMPLETE
2,0.06325732916593552,2026-05-19 00:04:55.566444,2026-05-19 00:04:57.898682,0 days 00:00:02.332238,32,11.207606211860567,0.016480446427978974,0.0007309539835912913,2,0.47473748411882516,4000,COMPLETE
3,0.0005715365405194461,2026-05-19 00:04:57.908278,2026-05-19 00:05:31.488386,0 days 00:00:33.580108,32,8.168455894760163,0.029204338471814112,0.0037183641805732083,3,0.41980426929501585,3000,COMPLETE
4,0.003106903051957488,2026-05-19 00:05:31.499544,2026-05-19 00:06:03.528037,0 days 00:00:32.028493,80,2.1930485556643684,0.26926469100861794,0.00013492834268013249,2,0.8693313223520001,5000,COMPLETE
5,0.23935817182064056,2026-05-19 00:06:03.538169,2026-05-19 00:06:03.706761,0 days 00:00:00.168592,112,23.359635026261596,0.002458603276328005,0.0007591104805282694,3,0.3732229409068673,3000,PRUNED
6,0.24676677584648132,2026-05-19 00:06:03.713088,2026-05-19 00:06:03.982036,0 days 00:00:00.268948,16,21.137059440645725,0.010842262717330166,0.0004201672054372534,6,0.6120408127066865,3000,PRUNED
7,3.185948298778385e-05,2026-05-19 00:06:03.988635,2026-05-19 00:06:38.162862,0 days 00:00:34.174227,32,75.68292060167619,1.2604664585649468,0.006161049539380964,6,0.6587399872866511,5000,COMPLETE
8,0.2303626984357834,2026-05-19 00:06:38.175755,2026-05-19 00:06:38.315174,0 days 00:00:00.139419,16,4.473636174621264,0.0015167330688076208,0.0005989003672254305,2,0.4628094190643376,5000,PRUNED
9,0.00010390501120127738,2026-05-19 00:06:38.322455,2026-05-19 00:06:54.801940,0 days 00:00:16.479485,48,1.9135880487692298,0.14817820606039092,0.0040215545266902904,3,0.3447303862078625,5000,COMPLETE
10,0.06391523033380508,2026-05-19 00:06:54.813802,2026-05-19 00:06:55.424209,0 days 00:00:00.610407,128,1.0862348973937128,7.553503645583189,0.0020124870829750945,5,0.8445988771695108,1000,PRUNED
11,0.0006538427551276982,2026-05-19 00:06:55.432240,2026-05-19 00:07:09.311524,0 days 00:00:13.879284,96,96.55565586404381,4.1227039564557195,0.007791470666172783,5,0.7109790362975853,2000,COMPLETE
12,0.003800409846007824,2026-05-19 00:07:09.322414,2026-05-19 00:07:13.390664,0 days 00:00:04.068250,80,99.14191510481005,1.2269950005516586,0.007956692282233665,5,0.7266836773846171,2000,PRUNED
13,0.005396584048867226,2026-05-19 00:07:13.398068,2026-05-19 00:07:17.830889,0 days 00:00:04.432821,128,42.25341142883644,0.7221503416201749,0.002012962831034317,6,0.7235345463194052,4000,PRUNED
14,0.00029701850144192576,2026-05-19 00:07:17.837716,2026-05-19 00:07:30.827495,0 days 00:00:12.989779,64,45.774787153236524,2.2943250835053917,0.004261548525190929,4,0.5811442655053709,2000,COMPLETE
