trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
0,complete,0.006092776544392109,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000
1,complete,2.578827661636751e-05,112,5,0.679657809075816,1.0994335574766196,0.008706020878304856,0.7994655844802532,2000
2,complete,0.06325732916593552,32,2,0.016480446427978974,11.207606211860567,0.0007309539835912913,0.47473748411882516,4000
3,complete,0.0005715365405194461,32,3,0.029204338471814112,8.168455894760163,0.0037183641805732083,0.41980426929501585,3000
4,complete,0.003106903051957488,80,2,0.26926469100861794,2.1930485556643684,0.00013492834268013249,0.8693313223520001,5000
7,complete,3.185948298778385e-05,32,6,1.2604664585649468,75.68292060167619,0.006161049539380964,0.6587399872866511,5000
9,complete,0.00010390501120127738,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000
11,complete,0.0006538427551276982,96,5,4.1227039564557195,96.55565586404381,0.007791470666172783,0.7109790362975853,2000
14,complete,0.00029701850144192576,64,4,2.2943250835053917,45.774787153236524,0.004261548525190929,0.5811442655053709,2000
15,complete,8.772323781158775e-05,96,5,0.257965681676157,4.995657141647444,0.009818247569037455,0.782801182566667,4000
17,complete,9.666337427916005e-05,112,6,0.5097975228189386,1.0246748445375236,0.005603029841417724,0.7991010874923367,4000
21,complete,0.00012389832409098744,96,5,0.236487944037281,4.384691240155528,0.0097332804462723,0.7904499880445636,4000
24,complete,0.00011052697664126754,80,6,0.10525506803398074,3.1417639113887175,0.002968835783743788,0.6786575096035401,5000
26,complete,0.0002972205402329564,128,6,0.19892490183295064,10.67379250592378,0.006901294124591142,0.8455128652121097,5000
31,complete,0.00010516895417822525,112,6,0.48823250565750187,1.244519460779512,0.005447501845663944,0.812355603970472,4000
35,complete,0.00012904968752991408,112,5,0.1389315556602366,2.629557046296721,0.007303416754470403,0.7788535525967761,3000
52,complete,0.00010966231639031321,112,6,0.5662774045620603,1.1515445432451035,0.005287415323244471,0.7952786668415227,4000
57,complete,4.7596746298950166e-05,96,6,0.1972756436166849,2.4402882481272425,0.006255532391606076,0.5156428556473345,4000
59,complete,0.00027956272242590785,96,6,0.12333236163948574,3.438438779477706,0.007100621504316218,0.44070467870590174,3000
61,complete,0.00012114941637264565,96,6,0.19330916929766137,2.1229664468986593,0.0051671203130213795,0.49603435609289676,4000
